kind	discount
비회원	60
일반회원	65
골드회원	68
더블골드회원	70
비즈케어회원	65
오토매니저 사이트	75
롯데그룹임직원	70
롯데 W카드	70
VIP거래처	70
롯데리조트 제주	75
롯데(시티)호텔	73
롯데(시티)호텔(전기차전용)	75
롯데JTB(회원용)	68
롯데닷컴	70
롯데 ONers	70
롯데카드 e라이프	70
롯데카드 여행	68
롯데백화점MVG/AVNUEL	70
롯데백화점VIP+/VIP	68
롯데백화점 문화센터	68
롯데호텔 트레비회원	68
롯데스카이힐 제주	70
롯데 아트빌라스	70
롯데렌터카 AUTO카드	70
MY RENTAL 롯데카드	70
신차장 우리카드	70
롯데쇼핑(주)롯데마트사업본부	75
롯데면세점	70
롯데면세점 스타라운지	70
호텔&서비스BU 임직원	85
롯데 L.pot(위치기반) 쿠폰	70
코리아패스	68
KT멤버십	70
LG유플러스멤버십	68
아시아나항공(골드)	68
아시아나항공(실버)	65
아시아나항공(인터넷)	65
에어부산(FLY & FUN)	68
에어부산기업(제주)	68
렛츠코레일	68
공무원연금공단	68
교직원나라	68
경찰공제회	68
국군복지단	70
군인공제회	68
사학연금공단	68
과학기술인공제회	68
이제너두	68
네티웰	68
SK하이닉스	70
카포유	68
웰페어스	68
중소기업중앙회	70
노란우산공제회	70
중소기업협동조합	70
페이코비즈몰	68
금호그룹임직원	68
금호리조트	68
KT그룹임직원	70
KT복지관	68
KT동우회	68
삼성전자	68
삼성전자서비스	68
삼성디스플레이 임직원	68
르노삼성 임직원	68
코레일 멤버십	68
코레일 임직원	70
ABB	68
포스코	68
아중동한인회	68
하이오토(회원)	65
인천공항 홈페이지	70
장기거래처	70
국방부	70
한국관광공사(베니키아)	70
여행주간 캠페인	68
사단법인 벤처기업협회	68
(사)한국자동차협회	68
한화갤러리아 임직원	65
한화그룹계열사	65
G마켓	70
JDC(제주첨단과학기술단지)	68
모두투어(임직원)	68
스포월드	70
한국능률협회(KMA)	68
경동나비엔	70
동부생명GA	70
호텔119	70
레저스테이션	70
(사)한국무역협회	70
에이플러스라이프	70
오토오아시스	70
현대카드 오토케어	70
삼성카드 스마트오토케어	70
BC카드 세이프드라이빙	70
KB카드 와이즈오토케어	70
신한카드 GS오토케어	70
농심그룹	68
히든여행사	70
골프존	70
LF주식회사	70
케이케이데이 주식회사	70
패키지코리아	70
전기차 엑스포	70
서울메트로	70
갤러리아 VIP	70
discover korea your way 	68
Korea Fits You	68
NSOK (네오에스네트웍스)	70
롯데 월드타워&몰 입주사	68
한국지엠 임직원(조합원)	70
차움	68
한국추진공학회	68
한국공항공사	70
현대오토에버	68
포장재공제조합	68
더위로	68
우리원	68
VisitKorea	68
꿈이있는여행	68
KTS	70
구세군	70
휴한의원	68
E1 오렌지카드	68
농협하나로 가족고객 우대서비스	68
티머니	68
롯데렌터카 여자오픈	0
한국청년회의소	70
KB국민카드 프라임회원	68
KB국민은행 스타클럽	70
롯데카드	70
롯데법인카드	70
BC카드	62
BC oh-point	68
BC-kt제휴카드	68
신한 Top's club	68
JCB카드	68
삼성카드 프리미엄	68
IBK기업은행 프리미엄존	68
하나은행(영하나)학생증카드	70
하나카드VIP컨시어지	70
VISA카드 프리미엄	65
롯데손해보험(하우머치)	68
한화손해보험	68
KB손해보험	68
(주)모두투어네트워크	80
롯데제이티비 주식회사	80
해비치호텔	80
현대드림투어	70
(주)여행박사	70
와제주	70
비젠투어	80
제주산책	70
제주토리	70
제주혼디	70
평화의섬제주	70
제주바람	70
제주투어매니저	70
