date	model	capa
20201201	AVANTE	2 
20201202	AVANTE	2 
20201203	AVANTE	2 
20201204	AVANTE	2 
20201205	AVANTE	2 
20201206	AVANTE	2 
20201207	AVANTE	2 
20201201	SOUL	2 
20201202	SOUL	2 
20201203	SOUL	2 
20201204	SOUL	2 
20201205	SOUL	2 
20201206	SOUL	1 
20201207	SOUL	1 
20201208	SOUL	1 
20201209	SOUL	1 
20201201	VELOSTER	1 
20201202	VELOSTER	1 
20201203	VELOSTER	1 
20201204	VELOSTER	1 
20201205	VELOSTER	1 
20201206	VELOSTER	1 
20201207	VELOSTER	1 
20201208	VELOSTER	1 
20201209	VELOSTER	1 
20201210	VELOSTER	1 
20201211	VELOSTER	1 
20201212	VELOSTER	1 
20201213	VELOSTER	1 
20201214	VELOSTER	1 
20201215	VELOSTER	1 
20201216	VELOSTER	1 
20201217	VELOSTER	1 
20201218	VELOSTER	1 
20201219	VELOSTER	1 
20201220	VELOSTER	1 
20201221	VELOSTER	1 
20201222	VELOSTER	1 
20201223	VELOSTER	1 
20201224	VELOSTER	1 
20201225	VELOSTER	1 
20201226	VELOSTER	1 
20201227	VELOSTER	1 
20201228	VELOSTER	1 
20201229	VELOSTER	1 
20201230	VELOSTER	1 
20201231	VELOSTER	1 
20210101	VELOSTER	1 
20210102	VELOSTER	1 
20210103	VELOSTER	1 
20210104	VELOSTER	1 
20210105	VELOSTER	1 
20210106	VELOSTER	1 
20210107	VELOSTER	1 
20210108	VELOSTER	1 
20210109	VELOSTER	1 
20210110	VELOSTER	1 
20210111	VELOSTER	1 
20210112	VELOSTER	1 
20210113	VELOSTER	1 
20210114	VELOSTER	1 
20210115	VELOSTER	1 
20210116	VELOSTER	1 
20210117	VELOSTER	1 
20210118	VELOSTER	1 
20210119	VELOSTER	1 
20210120	VELOSTER	1 
20210121	VELOSTER	1 
20210122	VELOSTER	1 
20210123	VELOSTER	1 
20210124	VELOSTER	1 
20210125	VELOSTER	1 
20210126	VELOSTER	1 
20210127	VELOSTER	1 
20210128	VELOSTER	1 
20210129	VELOSTER	1 
20210130	VELOSTER	1 
20210131	VELOSTER	1 
