예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
11	홈페이지	2022227425	2	개인	815000	1TSM301	TESLA MODEL 3 (EV)	전기차	2020-11-23	18:00:00	2020-11-28	8:49:00	4	15	155000	KA02	회원할인	비회원	60.00	비회원	단기	2020-06-14	TESLA MODEL 3 (E) LONG RANGE
13	모바일	2022231680	2	개인	538000	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-30	15:00:00	2020-12-05	11:47:00	4	21	156000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-06-16	GENESIS G70 (G) 2.0 T SUPREME
12	제휴사	2022261878	2	개인	238800	1KLY005	더 뉴 레이 (G)	1.0급	2020-12-06	13:00:00	2020-12-12	11:25:00	5	23	0	KA02	회원할인	비회원	60.00	비회원	단기	2020-07-01	THE NEW RAY (G) 1.0 럭셔리
21	카드사	2022341036	2	개인	185900	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-26	10:30:00	2020-11-28	14:41:00	2	5	64800	KA01	업체할인	비씨카드(주)	62.00	비회원	단기	2020-08-05	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022362428	2	개인	151200	1HAV140	아반떼 AD (G) F/L	1.6급	2020-11-25	12:00:00	2020-11-28	11:47:00	3	0	43200	KA02	회원할인	일반회원	70.00	골드회원	단기	2020-08-16	THE NEW AVANTE AD (G) 1.6 SMART F/L
11	홈페이지	2022383737	2	개인	244300	1HAV151	올 뉴 아반떼 (G)	1.6급	2020-11-23	11:00:00	2020-11-26	18:11:00	3	8	71400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-27	ALL NEW AVANTE (G) 1.6 MODERN
11	홈페이지	2022384146	2	개인	160000	1HLN002	LF 쏘나타 뉴라이즈 (G)	2.0급	2020-11-25	12:00:00	2020-11-27	11:03:00	2	0	48000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-28	LF SONATA NEWRISE (G) 2.0 SMART CHOICE
12	제휴사	2022384601	2	개인	304000	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-23	17:30:00	2020-11-27	14:18:00	3	21	124800	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00	비회원	단기	2020-08-28	GENESIS G70 (G) 2.0 T ELITE
13	모바일	2022386109	2	개인	311400	1TSM301	TESLA MODEL 3 (EV)	전기차	2020-11-28	16:30:00	2020-11-30	10:36:00	1	19	54400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-30	TESLA MODEL 3 (E) LONG RANGE
13	모바일	2022386746	2	개인	53400	1KMO300	모닝 어반 (G)	1.0급	2020-11-27	10:00:00	2020-11-28	11:29:00	1	2	19200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-30	MORNING URBAN (G) 1.0 프레스티지
13	모바일	2022387343	2	개인	255100	1HCO010	코나 (EV)	전기차	2020-11-28	11:00:00	2020-12-01	10:26:00	3	0	87100	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-31	KONA ELECTRIC (E) PREMIUM
10	직접	2022389684	2	개인	199200	1KSU100	쏘울 부스터 (G)	SUV/RV	2020-11-24	11:30:00	2020-11-27	13:29:00	3	2	71400	KA03	이벤트할인	롯데면세점	70.00	일반회원	단기	2020-09-01	SOUL BOOSTER (G) 1.6 노블레스
11	홈페이지	2022390295	2	개인	209750	1KMO100	올 뉴 모닝 (G)	1.0급	2020-11-24	10:00:00	2020-11-28	14:32:00	4	5	74400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-01	ALL NEW MORNING (G) 1.0 럭셔리
12	제휴사	2022391658	2	개인	436200	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-30	8:30:00	2020-12-05	11:58:00	5	4	187200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00	일반회원	단기	2020-09-02	GENESIS G70 (G) 2.0 T ELITE
13	모바일	2022393790	2	개인	843500	1TSM301	TESLA MODEL 3 (EV)	전기차	2020-11-29	13:40:00	2020-12-05	14:35:00	6	1	134400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-03	TESLA MODEL 3 (E) LONG RANGE
12	제휴사	2022394433	2	개인	156800	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-24	15:00:00	2020-11-26	14:29:00	2	0	67200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00	비회원	단기	2020-09-04	GENESIS G70 (G) 2.0 T ELITE
11	홈페이지	2022395571	2	개인	224000	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-26	15:00:00	2020-11-28	8:59:00	1	18	67200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-04	GENESIS G70 (G) 2.0 T ELITE
11	홈페이지	2022396039	2	개인	308050	1KCN601	더 뉴 카니발 11인승 (D)	승합	2020-12-04	10:30:00	2020-12-06	15:59:00	2	6	71000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-05	THE NEW CARNIVAL (D) 2.2 디럭스 11인승
13	모바일	2022396289	2	개인	461300	1HGN703	G70 3.3 터보 (G)	3.0급	2020-11-29	10:00:00	2020-12-02	17:36:00	3	8	133800	KA02	회원할인	일반회원	65.00	일반회원	장기	2020-09-05	GENESIS G70 (G) 3.3 T SPORT PRESTIGE
13	모바일	2022396935	2	개인	197500	1KST110	셀토스 4WD (D)	SUV/RV	2020-12-01	14:00:00	2020-12-04	13:30:00	3	0	53500	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-06	SELTOS (D) 1.6 프레스티지 4WD
11	홈페이지	2022397028	2	개인	479600	1HCO001	코나 (G)	SUV/RV	2020-11-28	20:30:00	2020-12-05	12:18:00	6	16	131600	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-06	KONA (G) 1.6 2WD MODERN POP
13	모바일	2022397301	2	개인	510900	1KK3010	ALL NEW K3 (G)	1.6급	2020-11-25	13:00:00	2020-12-06	18:01:00	11	6	134400	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-07	K3 SMARTSTREAM (G) 1.6 럭셔리
10	직접	2022397678	2	개인	557550	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-26	10:00:00	2020-12-09	14:07:00	13	5	197400	KA03	이벤트할인	롯데(시티)호텔	63.00	일반회원	단기	2020-09-07	THE NEW RAY (G) 1.0 럭셔리
13	모바일	2022398317	2	개인	521850	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-06	9:30:00	2020-12-12	16:00:00	6	7	123200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-07	INTERACTIVE K5 (G) 2.0 프레스티지
10	직접	2022398569	2	개인	137600	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-24	13:00:00	2020-11-26	13:07:00	2	1	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-07	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022398573	2	개인	147200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-24	13:00:00	2020-11-26	14:22:00	2	2	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-07	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022398575	2	개인	147200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-24	13:00:00	2020-11-26	14:16:00	2	2	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-07	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022398580	2	개인	192200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-24	13:00:00	2020-11-26	13:25:00	2	1	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-07	SONATA DN8 (G) 2.0 프리미엄
