예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
13	모바일	2022236228	2	개인	103,900	1HDN001	쏘나타 DN8 (G)		2020-12-24	오전 8:00:00	2020-12-25	오전 8:00:00	1	0	24,000	KA02	회원할인	골드회원	53.00	골드회원	그린카	2020-06-18	
10	직접	2022410416	2	개인	236,500	1HAV151	올 뉴 아반떼 (G)		2020-12-14	오후 2:00:00	2020-12-19	오후 2:00:00	5	0	111,500	KA04	쿠폰할인	P2014059140901	80.00	일반회원	그린카	2020-09-14	
11	홈페이지	2022412264	2	개인	328,600	1RXM300	XM3 1.4 (G)		2020-12-14	오후 3:00:00	2020-12-18	오후 8:00:00	4	5	89,200	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-15	
10	직접	2022414175	2	개인	64,800	1KK5201	INTERACTIVE K5 (G)		2020-12-17	오전 10:00:00	2020-12-19	오후 4:00:00	2	6	64,800	KA03	이벤트할인	장기거래처_Biz골드	70.00	일반회원	그린카	2020-09-16	
12	제휴사	2022416254	1	법인	156,800	1HGN701	G70 2.0 터보 (G)		2020-12-16	오후 2:00:00	2020-12-18	오후 2:00:00	2	0	67,200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00		그린카	2020-09-17	
13	모바일	2022418018	2	개인	561,200	1TSM301	TESLA MODEL 3 (EV)		2020-12-25	오후 2:00:00	2020-12-29	오후 2:00:00	4	0	99,200	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-18	
26	해외제휴사	2022418664	1	법인	182,400	1KMO100	올 뉴 모닝 (G)		2020-12-15	오후 1:00:00	2020-12-19	오후 1:00:00	4	0	38,400	KA01	업체할인	Hertz	0.00		그린카	2020-09-18	
13	모바일	2022420079	2	개인	158,400	1KK3010	ALL NEW K3 (G)		2020-12-17	오전 8:00:00	2020-12-20	오전 7:00:00	2	23	43,200	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-19	
11	홈페이지	2022421255	2	개인	536,000	1KSR925	쏘렌토 MQ4 7인승 4WD (D)		2020-12-21	오전 10:00:00	2020-12-26	오전 10:00:00	5	0	156,000	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-20	
13	모바일	2022421784	2	개인	319,850	1KK5201	INTERACTIVE K5 (G)		2020-12-20	오후 12:00:00	2020-12-25	오후 6:00:00	5	6	86,400	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-21	
10	직접	2022421840	2	개인	48,100	1STE002	스팅어 2.0 터보 (G)		2020-12-30	오후 2:00:00	2021-01-03	오후 2:00:00	4	0	35,500	KA03	이벤트할인	롯데그룹 임직원	80.00	골드회원	그린카	2020-09-21	
11	홈페이지	2022422166	2	개인	303,000	1HCO001	코나 (G)		2020-12-20	오후 1:00:00	2020-12-26	오후 3:00:00	6	2	0	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-21	
21	카드사	2022422363	2	개인	177,840	1HNG001	더 뉴 그랜저 2.5 (G)		2020-12-18	오후 7:00:00	2020-12-21	오후 7:00:00	3	0	0	KA01	업체할인	비씨카드(주)	62.00	비회원	그린카	2020-09-21	
11	홈페이지	2022422396	2	개인	252,260	1HCO001	코나 (G)		2020-12-20	오전 10:30:00	2020-12-23	오후 3:30:00	3	5	97,900	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-21	
26	해외제휴사	2022422626	1	법인	240,000	1HLN002	LF 쏘나타 뉴라이즈 (G)		2020-12-20	오전 11:00:00	2020-12-23	오전 11:00:00	3	0	72,000	KA01	업체할인	Hertz	0.00		그린카	2020-09-21	
12	제휴사	2022424679	2	개인	540,000	1BWX701	BMW X7 3.0 (D)		2020-12-19	오후 2:00:00	2020-12-22	오후 2:00:00	3	0	0	KA03	이벤트할인	[제주] BMW럭셔리클래스전용	70.00	비회원	그린카	2020-09-22	
11	홈페이지	2022424943	2	개인	122,900	1KLY005	더 뉴 레이 (G)		2020-12-16	오전 10:00:00	2020-12-18	오후 5:00:00	2	7	31,200	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-22	
10	직접	2022425646	2	개인	250,150	1HGN701	G70 2.0 터보 (G)		2020-12-21	오후 3:00:00	2020-12-27	오후 7:00:00	6	4	48,200	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-22	
11	홈페이지	2022425912	2	개인	132,900	1KST110	셀토스 4WD (D)		2020-12-21	오전 8:00:00	2020-12-22	오후 7:00:00	1	11	38,400	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-22	
13	모바일	2022425987	2	개인	419,200	1HCO001	코나 (G)		2020-12-21	오전 11:00:00	2020-12-26	오후 4:30:00	5	6	146,900	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-22	
13	모바일	2022427882	2	개인	70,520	1KMO300	모닝 어반 (G)		2020-12-20	오후 2:00:00	2020-12-22	오후 2:00:00	2	0	19,200	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-23	
13	모바일	2022427945	2	개인	158,700	1CSP100	스파크 (G)		2020-12-23	오후 12:30:00	2020-12-27	오후 12:30:00	4	0	35,500	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-24	
10	직접	2022428119	2	개인	414,500	1KNI002	니로 (EV)		2020-12-20	오전 10:00:00	2020-12-24	오후 5:00:00	4	7	174,800	KA03	이벤트할인	롯데카드	70.00	일반회원	그린카	2020-09-24	
10	직접	2022428131	2	개인	93,600	1HGN701	G70 2.0 터보 (G)		2020-12-21	오후 12:30:00	2020-12-24	오전 11:00:00	2	23	93,600	KA03	이벤트할인	장기거래처_Biz골드	70.00	일반회원	그린카	2020-09-24	
12	제휴사	2022428769	1	법인	156,800	1HGN701	G70 2.0 터보 (G)		2020-12-20	오후 2:00:00	2020-12-22	오후 2:00:00	2	0	67,200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00		그린카	2020-09-24	
11	홈페이지	2022428821	2	개인	268,050	1KCN600	더 뉴 카니발 9인승 (D)		2020-12-18	오전 11:00:00	2020-12-20	오후 3:00:00	2	4	71,000	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-24	
12	제휴사	2022429510	2	개인	215,700	1KSU100	쏘울 부스터 (G)		2020-12-20	오후 1:00:00	2020-12-23	오후 8:00:00	3	7	71,400	KA03	이벤트할인	롯데면세점	70.00	비회원	그린카	2020-09-24	
11	홈페이지	2022429692	2	개인	113,280	1HAV151	올 뉴 아반떼 (G)		2020-12-24	오전 8:30:00	2020-12-25	오후 8:00:00	1	12	38,400	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-25	
11	홈페이지	2022429762	2	개인	306,550	1HDN001	쏘나타 DN8 (G)		2020-12-24	오전 10:50:00	2020-12-27	오후 5:30:00	3	7	86,400	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
13	모바일	2022429774	2	개인	217,200	1HAV140	아반떼 AD (G) F/L		2020-12-24	오전 8:40:00	2020-12-27	오후 6:40:00	3	10	57,600	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
13	모바일	2022429783	2	개인	530,900	1HGV007	GV80 4WD 7인승 (D)		2020-12-24	오후 5:30:00	2020-12-27	오후 12:00:00	2	19	146,900	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-25	
10	직접	2022429788	2	개인	648,200	1HGN901	G90 3.8 (G)		2020-12-24	오후 5:30:00	2020-12-27	오후 12:00:00	2	19	177,800	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-25	
13	모바일	2022429834	2	개인	587,900	1HGV007	GV80 4WD 7인승 (D)		2020-12-24	오후 3:00:00	2020-12-27	오후 3:00:00	3	0	146,900	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
12	제휴사	2022429995	2	개인	169,200	1KK3010	ALL NEW K3 (G)		2020-12-24	오후 10:30:00	2020-12-27	오후 7:30:00	2	21	61,200	KA03	이벤트할인	롯데면세점	70.00	일반회원	그린카	2020-09-25	
13	모바일	2022430208	2	개인	225,600	1KK3010	ALL NEW K3 (G)		2020-12-24	오후 8:00:00	2020-12-28	오후 4:00:00	3	20	57,600	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
12	제휴사	2022430253	2	개인	242,400	1KST110	셀토스 4WD (D)		2020-12-24	오전 9:00:00	2020-12-27	오후 6:00:00	3	9	71,400	KA03	이벤트할인	롯데면세점	70.00	일반회원	그린카	2020-09-25	
13	모바일	2022430308	2	개인	335,550	1KK9021	THE K9 3.8 (G)		2020-12-24	오전 9:30:00	2020-12-26	오후 3:20:00	2	6	0	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
11	홈페이지	2022430344	2	개인	145,720	1KK3010	ALL NEW K3 (G)		2020-12-24	오전 8:30:00	2020-12-26	오후 8:00:00	2	12	43,200	KA02	회원할인	골드회원	68.00	골드회원	그린카	2020-09-25	
11	홈페이지	2022430439	2	개인	202,050	1KK3010	ALL NEW K3 (G)		2020-12-18	오후 2:00:00	2020-12-21	오후 8:00:00	3	6	57,600	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
12	제휴사	2022430469	2	개인	540,000	1BWX701	BMW X7 3.0 (D)		2020-12-24	오후 7:00:00	2020-12-27	오후 7:00:00	3	0	0	KA03	이벤트할인	[제주] BMW럭셔리클래스전용	70.00	비회원	그린카	2020-09-25	
10	직접	2022430500	2	개인	388,400	1KCN607	더 뉴 카니발 하이리무진 9인승 (G)		2020-12-24	오전 11:00:00	2020-12-27	오전 11:00:00	3	0	115,400	KA02	회원할인	일반회원	65.00	일반회원	그린카	2020-09-25	
