상태	계약번호	대여차종	대여일시	반납일시	예약채널	고객번호	총청구액	최종수정일시
취소	2022518588	LF 쏘나타 뉴라이즈 (L)	2020-12-01 8:00	2020-12-03 20:00	홈페이지	112938914	3,000	2020-11-09
취소	2022518578	LF 쏘나타 뉴라이즈 (L)	2020-12-01 8:00	2020-12-03 20:00	홈페이지	112938914	3,000	2020-11-09
취소	2022537412	더 뉴 싼타페 4WD 7인승 (D)	2020-12-01 9:30	2020-12-03 20:30	모바일	112737409	3,000	2020-11-27
취소	2022550661	쏘나타 DN8 (G)	2020-12-01 9:30	2020-12-03 21:00	직접	111538119	3,000	2020-11-30
취소	2022410194	BMW X7 3.0 (D)	2020-12-01 10:00	2020-12-03 22:00	제휴사	113397378		2020-11-04
취소	2022538022	셀토스 4WD (D)	2020-12-01 22:00	2020-12-03 22:00	제휴사	113406062	3,000	2020-11-25
취소	2022519748	아반떼 AD (G) F/L	2020-12-01 8:00	2020-12-04 6:00	홈페이지	110575024	3,000	2020-11-25
취소	2022554808	더 뉴 그랜저 2.5 (G)	2020-12-01 18:00	2020-12-04 7:00	홈페이지	113526215	3,000	2020-11-26
취소	2022524011	티볼리 (G)	2020-12-01 8:00	2020-12-04 7:30	직접	112660054	3,000	2020-11-26
취소	2022553533	LF 쏘나타 뉴라이즈 (G)	2020-12-01 16:00	2020-12-04 8:30	제휴사	113525633	3,000	2020-11-25
취소	2022538859	LF 쏘나타 뉴라이즈 (L)	2020-12-01 9:00	2020-12-04 9:00	모바일	110873131	3,000	2020-11-25
취소	2022553748	스파크 (G)	2020-12-01 11:00	2020-12-04 9:00	홈페이지	113525847	3,000	2020-11-29
취소	2022551741	스파크 (G)	2020-12-01 13:00	2020-12-04 9:30	모바일	111164396	3,000	2020-11-24
취소	2022498638	셀토스 4WD (D)	2020-12-01 9:00	2020-12-08 17:00	모바일	112355612	3,000	2020-11-01
취소	2022559044	코나 (G)	2020-12-01 10:00	2020-12-04 10:00	제휴사	112869247	3,000	2020-11-30
취소	2022525078	INTERACTIVE K5 (G)	2020-12-01 10:00	2020-12-04 10:00	제휴사	113491757	3,000	2020-11-11
