date	model	capa
201801	AVANTE	133
201802	AVANTE	136
201803	AVANTE	136
201804	AVANTE	135
201805	AVANTE	132
201806	AVANTE	132
201807	AVANTE	133
201808	AVANTE	135
201809	AVANTE	135
201810	AVANTE	133
201811	AVANTE	134
201812	AVANTE	94
201801	K3	58
201802	K3	58
201803	K3	58
201804	K3	91
201805	K3	129
201806	K3	128
201807	K3	129
201808	K3	125
201809	K3	118
201810	K3	117
201811	K3	118
201812	K3	118
201801	VELOSTER	20
201802	VELOSTER	20
201803	VELOSTER	20
201804	VELOSTER	20
201805	VELOSTER	20
201806	VELOSTER	24
201807	VELOSTER	39
201808	VELOSTER	40
201809	VELOSTER	40
201810	VELOSTER	40
201811	VELOSTER	34
201812	VELOSTER	30
201901	AVANTE	87
201902	AVANTE	85
201903	AVANTE	81
201904	AVANTE	79
201905	AVANTE	121
201906	AVANTE	115
201907	AVANTE	136
201908	AVANTE	140
201909	AVANTE	126
201910	AVANTE	112
201911	AVANTE	108
201912	AVANTE	108
201901	K3	118
201902	K3	117
201903	K3	117
201904	K3	124
201905	K3	134
201906	K3	133
201907	K3	133
201908	K3	133
201909	K3	122
201910	K3	117
201911	K3	117
201912	K3	113
201901	VELOSTER	30
201902	VELOSTER	30
201903	VELOSTER	30
201904	VELOSTER	36
201905	VELOSTER	49
201906	VELOSTER	56
201907	VELOSTER	60
201908	VELOSTER	60
201909	VELOSTER	60
201910	VELOSTER	60
201911	VELOSTER	60
201912	VELOSTER	60
202001	AVANTE	108
202002	AVANTE	108
202003	AVANTE	108
202004	AVANTE	108
202005	AVANTE	108
202006	AVANTE	108
202007	AVANTE	108
202008	AVANTE	108
202009	AVANTE	108
202001	K3	113
202002	K3	113
202003	K3	113
202004	K3	113
202005	K3	113
202006	K3	113
202007	K3	113
202008	K3	113
202009	K3	113
202001	VELOSTER	60
202002	VELOSTER	60
202003	VELOSTER	60
202004	VELOSTER	60
202005	VELOSTER	60
202006	VELOSTER	60
202007	VELOSTER	60
202008	VELOSTER	60
202009	VELOSTER	60
