date	model	capa
201801	아반떼 AD (G) F/L	133
201802	아반떼 AD (G) F/L	136
201803	아반떼 AD (G) F/L	136
201804	아반떼 AD (G) F/L	135
201805	아반떼 AD (G) F/L	132
201806	아반떼 AD (G) F/L	132
201807	아반떼 AD (G) F/L	133
201808	아반떼 AD (G) F/L	135
201809	아반떼 AD (G) F/L	135
201810	아반떼 AD (G) F/L	133
201811	아반떼 AD (G) F/L	134
201812	아반떼 AD (G) F/L	94
201801	ALL NEW K3 (G)	58
201802	ALL NEW K3 (G)	58
201803	ALL NEW K3 (G)	58
201804	ALL NEW K3 (G)	91
201805	ALL NEW K3 (G)	129
201806	ALL NEW K3 (G)	128
201807	ALL NEW K3 (G)	129
201808	ALL NEW K3 (G)	125
201809	ALL NEW K3 (G)	118
201810	ALL NEW K3 (G)	117
201811	ALL NEW K3 (G)	118
201812	ALL NEW K3 (G)	118
201801	쏘울 부스터 (G)	20
201802	쏘울 부스터 (G)	20
201803	쏘울 부스터 (G)	20
201804	쏘울 부스터 (G)	20
201805	쏘울 부스터 (G)	20
201806	쏘울 부스터 (G)	20
201807	쏘울 부스터 (G)	20
201808	쏘울 부스터 (G)	20
201809	쏘울 부스터 (G)	20
201810	쏘울 부스터 (G)	20
201811	쏘울 부스터 (G)	14
201812	쏘울 부스터 (G)	10
201801	더 올 뉴 벨로스터 (G)	0
201802	더 올 뉴 벨로스터 (G)	0
201803	더 올 뉴 벨로스터 (G)	0
201804	더 올 뉴 벨로스터 (G)	0
201805	더 올 뉴 벨로스터 (G)	0
201806	더 올 뉴 벨로스터 (G)	4
201807	더 올 뉴 벨로스터 (G)	19
201808	더 올 뉴 벨로스터 (G)	20
201809	더 올 뉴 벨로스터 (G)	20
201810	더 올 뉴 벨로스터 (G)	20
201811	더 올 뉴 벨로스터 (G)	20
201812	더 올 뉴 벨로스터 (G)	20
201901	아반떼 AD (G) F/L	87
201902	아반떼 AD (G) F/L	85
201903	아반떼 AD (G) F/L	81
201904	아반떼 AD (G) F/L	79
201905	아반떼 AD (G) F/L	121
201906	아반떼 AD (G) F/L	115
201907	아반떼 AD (G) F/L	136
201908	아반떼 AD (G) F/L	140
201909	아반떼 AD (G) F/L	126
201910	아반떼 AD (G) F/L	112
201911	아반떼 AD (G) F/L	108
201912	아반떼 AD (G) F/L	108
201901	ALL NEW K3 (G)	118
201902	ALL NEW K3 (G)	117
201903	ALL NEW K3 (G)	117
201904	ALL NEW K3 (G)	124
201905	ALL NEW K3 (G)	134
201906	ALL NEW K3 (G)	133
201907	ALL NEW K3 (G)	133
201908	ALL NEW K3 (G)	133
201909	ALL NEW K3 (G)	122
201910	ALL NEW K3 (G)	117
201911	ALL NEW K3 (G)	117
201912	ALL NEW K3 (G)	113
201901	쏘울 부스터 (G)	10
201902	쏘울 부스터 (G)	10
201903	쏘울 부스터 (G)	10
201904	쏘울 부스터 (G)	15
201905	쏘울 부스터 (G)	20
201906	쏘울 부스터 (G)	26
201907	쏘울 부스터 (G)	30
201908	쏘울 부스터 (G)	30
201909	쏘울 부스터 (G)	30
201910	쏘울 부스터 (G)	30
201911	쏘울 부스터 (G)	30
201912	쏘울 부스터 (G)	30
201901	더 올 뉴 벨로스터 (G)	20
201902	더 올 뉴 벨로스터 (G)	20
201903	더 올 뉴 벨로스터 (G)	20
201904	더 올 뉴 벨로스터 (G)	21
201905	더 올 뉴 벨로스터 (G)	29
201906	더 올 뉴 벨로스터 (G)	30
201907	더 올 뉴 벨로스터 (G)	30
201908	더 올 뉴 벨로스터 (G)	30
201909	더 올 뉴 벨로스터 (G)	30
201910	더 올 뉴 벨로스터 (G)	30
201911	더 올 뉴 벨로스터 (G)	30
201912	더 올 뉴 벨로스터 (G)	30
202001	아반떼 AD (G) F/L	110
202002	아반떼 AD (G) F/L	106
202003	아반떼 AD (G) F/L	101
202004	아반떼 AD (G) F/L	86
202005	아반떼 AD (G) F/L	82
202006	아반떼 AD (G) F/L	81
202007	아반떼 AD (G) F/L	81
202008	아반떼 AD (G) F/L	81
202009	아반떼 AD (G) F/L	63
202010	아반떼 AD (G) F/L	63
202011	아반떼 AD (G) F/L	64
202012	아반떼 AD (G) F/L	64
202001	올 뉴 아반떼 (G)	0
202002	올 뉴 아반떼 (G)	0
202003	올 뉴 아반떼 (G)	0
202004	올 뉴 아반떼 (G)	0
202005	올 뉴 아반떼 (G)	0
202006	올 뉴 아반떼 (G)	11
202007	올 뉴 아반떼 (G)	83
202008	올 뉴 아반떼 (G)	95
202009	올 뉴 아반떼 (G)	95
202010	올 뉴 아반떼 (G)	95
202011	올 뉴 아반떼 (G)	95
202012	올 뉴 아반떼 (G)	95
202001	ALL NEW K3 (G)	86
202002	ALL NEW K3 (G)	84
202003	ALL NEW K3 (G)	84
202004	ALL NEW K3 (G)	84
202005	ALL NEW K3 (G)	81
202006	ALL NEW K3 (G)	114
202007	ALL NEW K3 (G)	121
202008	ALL NEW K3 (G)	123
202009	ALL NEW K3 (G)	120
202010	ALL NEW K3 (G)	122
202011	ALL NEW K3 (G)	121
202012	ALL NEW K3 (G)	121
202001	쏘울 부스터 (G)	20
202002	쏘울 부스터 (G)	20
202003	쏘울 부스터 (G)	20
202004	쏘울 부스터 (G)	20
202005	쏘울 부스터 (G)	20
202006	쏘울 부스터 (G)	21
202007	쏘울 부스터 (G)	30
202008	쏘울 부스터 (G)	30
202009	쏘울 부스터 (G)	30
202010	쏘울 부스터 (G)	30
202011	쏘울 부스터 (G)	30
202012	쏘울 부스터 (G)	30
202001	더 올 뉴 벨로스터 (G)	30
202002	더 올 뉴 벨로스터 (G)	30
202003	더 올 뉴 벨로스터 (G)	30
