date	model	capa
201801	AVANTE	133
201802	AVANTE	136
201803	AVANTE	136
201804	AVANTE	135
201805	AVANTE	132
201806	AVANTE	132
201807	AVANTE	133
201808	AVANTE	135
201809	AVANTE	135
201810	AVANTE	133
201811	AVANTE	134
201812	AVANTE	94
201801	K3	0
201802	K3	0
201803	K3	0
201804	K3	32
201805	K3	70
201806	K3	70
201807	K3	70
201808	K3	70
201809	K3	70
201810	K3	70
201811	K3	70
201812	K3	70
201801	VELOSTER	0
201802	VELOSTER	0
201803	VELOSTER	0
201804	VELOSTER	0
201805	VELOSTER	0
201806	VELOSTER	4
201807	VELOSTER	19
201808	VELOSTER	20
201809	VELOSTER	20
201810	VELOSTER	20
201811	VELOSTER	20
201812	VELOSTER	20
201801	SOUL	20
201802	SOUL	20
201803	SOUL	20
201804	SOUL	20
201805	SOUL	20
201806	SOUL	20
201807	SOUL	20
201808	SOUL	20
201809	SOUL	20
201810	SOUL	20
201811	SOUL	14
201812	SOUL	10
201901	AVANTE	87
201902	AVANTE	85
201903	AVANTE	81
201904	AVANTE	79
201905	AVANTE	121
201906	AVANTE	115
201907	AVANTE	136
201908	AVANTE	140
201909	AVANTE	126
201910	AVANTE	112
201911	AVANTE	108
201912	AVANTE	108
201901	K3	70
201902	K3	70
201903	K3	70
201904	K3	78
201905	K3	89
201906	K3	88
201907	K3	89
201908	K3	89
201909	K3	87
201910	K3	88
201911	K3	89
201912	K3	85
201901	VELOSTER	20
201902	VELOSTER	20
201903	VELOSTER	20
201904	VELOSTER	21
201905	VELOSTER	29
201906	VELOSTER	30
201907	VELOSTER	30
201908	VELOSTER	30
201909	VELOSTER	30
201910	VELOSTER	30
201911	VELOSTER	30
201912	VELOSTER	30
201901	SOUL	10
201902	SOUL	10
201903	SOUL	10
201904	SOUL	15
201905	SOUL	20
201906	SOUL	26
201907	SOUL	30
201908	SOUL	30
201909	SOUL	30
201910	SOUL	30
201911	SOUL	30
201912	SOUL	30
202001	AVANTE	110
202002	AVANTE	106
202003	AVANTE	101
202004	AVANTE	86
202005	AVANTE	82
202006	AVANTE	91
202007	AVANTE	163
202008	AVANTE	176
202009	AVANTE	158
202010	AVANTE	158
202011	AVANTE	159
202012	AVANTE	159
202001	K3	86
202002	K3	84
202003	K3	84
202004	K3	84
202005	K3	81
202006	K3	114
202007	K3	121
202008	K3	123
202009	K3	119
202010	K3	122
202011	K3	121
202012	K3	121
202001	VELOSTER	30
202002	VELOSTER	30
202003	VELOSTER	30
202004	VELOSTER	29
202005	VELOSTER	30
202006	VELOSTER	30
202007	VELOSTER	30
202008	VELOSTER	30
202009	VELOSTER	30
202010	VELOSTER	30
202011	VELOSTER	30
202012	VELOSTER	30
202001	SOUL	30
202002	SOUL	22
202003	SOUL	20
202004	SOUL	20
202005	SOUL	20
202006	SOUL	21
202007	SOUL	30
202008	SOUL	30
202009	SOUL	30
202010	SOUL	30
202011	SOUL	30
202012	SOUL	30
