date	model	capa
202011	아반떼 AD (G) F/L	64 
202012	아반떼 AD (G) F/L	64 
202101	아반떼 AD (G) F/L	64 
202102	아반떼 AD (G) F/L	64 
202103	아반떼 AD (G) F/L	64 
202011	올 뉴 아반떼 (G)	95 
202012	올 뉴 아반떼 (G)	95 
202101	올 뉴 아반떼 (G)	95 
202102	올 뉴 아반떼 (G)	95 
202103	올 뉴 아반떼 (G)	95 
202011	ALL NEW K3 (G)	121 
202012	ALL NEW K3 (G)	121 
202101	ALL NEW K3 (G)	121 
202102	ALL NEW K3 (G)	121 
202103	ALL NEW K3 (G)	121 
202011	쏘울 부스터 (G)	30 
202012	쏘울 부스터 (G)	30 
202101	쏘울 부스터 (G)	30 
202102	쏘울 부스터 (G)	30 
202103	쏘울 부스터 (G)	30 
202011	더 올 뉴 벨로스터 (G)	30 
202012	더 올 뉴 벨로스터 (G)	30 
202101	더 올 뉴 벨로스터 (G)	30 
202102	더 올 뉴 벨로스터 (G)	30 
202103	더 올 뉴 벨로스터 (G)	30 
