yyyymm	car_kind	capa	oper
201801	ACCENT (G) 1.4 4DOOR MODERN	30	23
201801	IONIQ HYBRID (H) 1.6 I	30	9
201801	IONIQ HYBRID (H) 1.6 I+	10	2
201801	K3 (G) 1.6 럭셔리	10	7
201801	MALIBU (G) 1.5 터보 LT 디럭스	40	16
201801	THE NEW AVANTE AD (G) 1.6 SMART	31	19
201801	THE NEW AVANTE AD (G) 1.6 STYLE	4	3
201801	THE NEW AVANTE AD (G) 1.6 VALUE PLUS	58	39
201801	THE NEW AVANTE AD (G) 1.6 법인전용	41	21
201801	THE NEW K3 (G) 트렌디 스타일	20	18
201801	THE NEW K3 (G) 프레스티지	28	23
201801	VOLT (H) 1.5	17	3
201802	ACCENT (G) 1.4 4DOOR MODERN	30	23
201802	IONIQ HYBRID (H) 1.6 I	30	7
201802	IONIQ HYBRID (H) 1.6 I+	10	2
201802	K3 (G) 1.6 럭셔리	11	6
201802	MALIBU (G) 1.5 터보 LT 디럭스	40	14
201802	THE NEW AVANTE AD (G) 1.6 SMART	32	17
201802	THE NEW AVANTE AD (G) 1.6 STYLE	4	3
201802	THE NEW AVANTE AD (G) 1.6 VALUE PLUS	58	33
201802	THE NEW AVANTE AD (G) 1.6 법인전용	42	21
201802	THE NEW K3 (G) 트렌디 스타일	20	17
201802	THE NEW K3 (G) 프레스티지	27	19
201802	VOLT (H) 1.5	17	1
201803	ACCENT (G) 1.4 4DOOR MODERN	30	24
201803	IONIQ HYBRID (H) 1.6 I	30	10
201803	IONIQ HYBRID (H) 1.6 I+	9	3
201803	K3 (G) 1.6 럭셔리	11	9
201803	MALIBU (G) 1.5 터보 LT 디럭스	40	14
201803	THE NEW AVANTE AD (G) 1.6 SMART	32	20
201803	THE NEW AVANTE AD (G) 1.6 STYLE	4	2
201803	THE NEW AVANTE AD (G) 1.6 VALUE PLUS	58	41
201803	THE NEW AVANTE AD (G) 1.6 법인전용	42	26
201803	THE NEW K3 (G) 트렌디 스타일	20	17
201803	THE NEW K3 (G) 프레스티지	27	22
201803	VOLT (H) 1.5	17	4
201804	ACCENT (G) 1.4 4DOOR MODERN	30	25
201804	ALL NEW K3 (G) 1.6 럭셔리	32	15
201804	IONIQ HYBRID (H) 1.6 I	29	12
201804	IONIQ HYBRID (H) 1.6 I+	9	4
201804	K3 (G) 1.6 럭셔리	11	10
201804	MALIBU (G) 1.5 터보 LT 디럭스	40	20
201804	THE NEW AVANTE AD (G) 1.6 SMART	31	25
201804	THE NEW AVANTE AD (G) 1.6 STYLE	4	4
