date	discount_init
20201109	60
20201110	60
20201111	60
20201112	55
20201113	55
20201114	55
20201115	55
20201116	60
20201117	60
20201118	60
20201119	55
20201120	55
20201121	55
20201122	55
20201123	60
20201124	60
20201125	60
20201126	55
20201127	55
20201128	55
20201129	55
20201130	60
20201201	70
20201202	70
20201203	65
20201204	65
20201205	65
20201206	65
20201207	70
20201208	70
20201209	70
20201210	65
20201211	65
20201212	65
20201213	65
20201214	70
20201215	70
20201216	70
20201217	65
20201218	65
20201219	65
20201220	65
20201221	70
20201222	70
20201223	50
20201224	30
20201225	30
20201226	65
20201227	65
20201228	70
20201229	70
20201230	30
20201231	30
20210101	30
20210102	65
20210103	65
20210104	65
20210105	65
20210106	65
20210107	65
20210108	65
20210109	65
20210110	65
20210111	65
20210112	65
20210113	65
20210114	65
20210115	65
20210116	65
20210117	65
20210118	65
20210119	65
20210120	65
20210121	65
20210122	65
20210123	65
20210124	65
20210125	65
20210126	65
20210127	65
20210128	65
20210129	65
20210130	65
20210131	65
20210201	65
20210202	65
20210203	65
20210204	65
20210205	65
20210206	65
20210207	65
20210208	65
20210209	65
20210210	65
20210211	65
20210212	65
20210213	65
20210214	65
20210215	65
20210216	65
20210217	65
20210218	65
20210219	65
20210220	65
20210221	65
20210222	65
20210223	65
20210224	65
20210225	65
20210226	65
20210227	65
20210228	65
