YYYYMMDD	M3	M2	M1	W4	W3	W2	W1	weekend	season	event
20170101	70	65	65	65	65	65	65		0	0
20170102	70	65	65	65	65	65	65		0	0
20170103	70	65	65	65	65	65	65		0	0
20170104	70	65	65	65	65	65	65		0	0
20170105	70	65	65	65	65	65	65		0	0
20170106	70	65	65	65	65	65	65		0	0
20170107	70	65	65	65	65	65	65		0	0
20170108	70	65	65	65	65	65	65		0	0
20170109	70	65	65	65	65	65	65		0	0
20170110	70	65	65	65	65	65	65		0	0
20170111	70	65	65	65	65	65	65		0	0
20170112	70	65	65	65	65	65	65		0	0
20170113	70	65	65	65	65	65	65		0	0
20170114	70	65	65	65	65	65	65		0	0
20170115	70	65	65	65	65	65	65		0	0
20170116	70	65	65	65	65	65	65		0	0
20170117	70	65	65	65	65	65	65		0	0
20170118	70	65	65	65	65	65	65		0	0
20170119	70	65	65	65	65	65	65		0	0
20170120	70	65	65	65	65	65	65		0	0
20170121	70	65	65	65	65	65	65		0	0
20170122	70	65	65	65	65	65	65		0	0
20170123	70	65	65	65	65	65	65		0	0
20170124	70	65	65	65	65	65	65		0	0
20170125	70	65	65	65	65	65	65		0	0
20170126	45	45	45	45	45	45	45		0	1
20170127	45	45	45	45	45	45	45		0	1
20170128	45	45	45	45	45	45	45		0	1
20170129	45	45	45	45	45	45	45		0	1
20170130	70	65	65	65	65	65	65		0	0
20170131	70	65	65	65	65	65	65		0	0
20170201	70	65	65	65	65	65	65		0	0
20170202	70	65	65	65	65	65	65		0	0
20170203	70	65	65	65	65	65	65		0	0
20170204	70	65	65	65	65	65	65		0	0
20170205	70	65	65	65	65	65	65		0	0
20170206	70	65	65	65	65	65	65		0	0
20170207	70	65	65	65	65	65	65		0	0
20170208	70	65	65	65	65	65	65		0	0
20170209	70	65	65	65	65	65	65		0	0
20170210	70	65	65	65	65	65	65		0	0
20170211	70	65	65	65	65	65	65		0	0
20170212	70	65	65	65	65	65	65		0	0
20170213	70	65	65	65	65	65	65		0	0
20170214	70	65	65	65	65	65	65		0	0
20170215	70	65	65	65	65	65	65		0	0
20170216	70	65	65	65	65	65	65		0	0
20170217	70	65	65	65	65	65	65		0	0
20170218	70	65	65	65	65	65	65		0	0
20170219	70	65	65	65	65	65	65		0	0
20170220	70	65	65	65	65	65	65		0	0
20170221	70	65	65	65	65	65	65		0	0
20170222	70	65	65	65	65	65	65		0	0
20170223	70	65	65	65	65	65	65		0	0
20170224	70	65	65	65	65	65	65		0	0
20170225	70	65	65	65	65	65	65		0	0
20170226	70	65	65	65	65	65	65		0	0
20170227	70	65	65	65	65	65	65		0	0
20170228	70	65	65	65	65	65	65		0	0
20170301	70	65	65	65	65	65	65		0	0
20170302	70	65	65	65	65	65	65		0	0
20170303	70	65	65	65	65	65	65		0	0
20170304	70	65	65	65	65	65	65		0	0
20170305	70	65	65	65	65	65	65		0	0
