date	domestic	foreign	total
20180101	34278	1690	35968
20180102	37315	1864	39179
20180103	35920	2157	38077
20180104	35192	1640	36832
20180105	31793	1785	33578
20180106	32578	2089	34667
20180107	33678	1800	35478
20180108	36133	1782	37915
20180109	32301	1760	34061
20180110	29635	2006	31641
20180111	15762	927	16689
20180112	34009	1542	35551
20180113	35490	1923	37413
20180114	35588	1741	37329
20180115	37216	1870	39086
20180116	34571	1917	36488
20180117	34010	2167	36177
20180118	36308	1691	37999
20180119	36071	2002	38073
20180120	38965	2193	41158
20180121	37216	1935	39151
20180122	37226	1933	39159
20180123	34468	1923	36391
20180124	33435	2192	35627
20180125	36190	1920	38110
20180126	35171	1989	37160
20180127	37126	1988	39114
20180128	34718	1895	36613
20180129	34321	2058	36379
20180130	28840	2328	31168
20180131	28608	2192	30800
20180201	31070	2074	33144
20180202	29564	1985	31549
20180203	29149	2289	31438
20180204	25047	1933	26980
20180205	28054	2134	30188
20180206	17850	1763	19613
20180207	26740	1833	28573
20180208	23228	1776	25004
20180209	26899	1723	28622
20180210	27436	2188	29624
20180211	26536	1673	28209
20180212	26062	1898	27960
20180213	31507	2035	33542
20180214	37289	2341	39630
20180215	41142	1854	42996
20180216	32959	1934	34893
20180217	33109	2484	35593
20180218	37224	2065	39289
20180219	36045	2138	38183
20180220	37860	2513	40373
20180221	37682	2711	40393
20180222	37791	2094	39885
20180223	38969	1832	40801
20180224	37995	2296	40291
20180225	37383	2252	39635
20180226	35852	2255	38107
20180227	34638	2480	37118
20180228	35253	2386	37639
20180301	39433	2920	42353
20180302	32690	2267	34957
20180303	27553	2294	29847
20180304	30840	2113	32953
20180305	29941	2281	32222
20180306	27479	2355	29834
20180307	24124	2438	26562
20180308	29221	2281	31502
20180309	34078	2062	36140
20180310	34913	2323	37236
20180311	31057	2132	33189
20180312	30726	2415	33141
20180313	29756	2293	32049
20180314	29232	2526	31758
20180315	33850	2265	36115
20180316	36088	2341	38429
20180317	36717	2659	39376
20180318	33642	2184	35826
20180319	32948	2420	35368
20180320	31098	2578	33676
20180321	33857	2683	36540
20180322	36560	2279	38839
20180323	38403	2532	40935
20180324	38034	4824	42858
20180325	34785	2647	37432
20180326	35939	2756	38695
20180327	34061	2870	36931
20180328	36178	3388	39566
20180329	37409	3112	40521
20180330	40206	2703	42909
20180331	39519	3392	42911
20180401	35624	2822	38446
20180402	39775	2666	42441
20180403	39446	2956	42402
20180404	37277	3455	40732
20180405	40469	3018	43487
20180406	42735	2513	45248
20180407	41431	3054	44485
20180408	38751	2609	41360
20180409	38894	4773	43667
20180410	38832	2705	41537
20180411	40122	2743	42865
20180412	41717	2906	44623
20180413	42700	2539	45239
20180414	41039	3091	44130
20180415	39627	2685	42312
20180416	39309	2461	41770
20180417	37169	3186	40355
20180418	39893	2842	42735
20180419	41757	2769	44526
20180420	44109	2968	47077
20180421	39976	3627	43603
20180422	37522	2825	40347
20180423	39393	2509	41902
20180424	38448	3179	41627
20180425	42818	3053	45871
20180426	43036	2808	45844
20180427	46080	2600	48680
20180428	45689	4220	49909
20180429	42711	2923	45634
20180430	38824	2779	41603
20180501	36089	3112	39201
20180502	36582	2743	39325
20180503	39843	2867	42710
20180504	45985	2641	48626
20180505	49373	3588	52961
20180506	33949	2638	36587
20180507	34292	2283	36575
20180508	38171	2827	40998
20180509	38093	2712	40805
20180510	37747	2464	40211
20180511	39442	2726	42168
20180512	41347	3304	44651
20180513	37603	2833	40436
20180514	41240	2382	43622
20180515	40166	3089	43255
20180516	38987	2815	41802
20180517	41092	3087	44179
20180518	43704	2929	46633
20180519	46125	3408	49533
20180520	39955	2638	42593
20180521	33352	2280	35632
20180522	20608	2626	23234
20180523	35964	2679	38643
20180524	38039	2767	40806
20180525	39136	2975	42111
20180526	41986	3685	45671
20180527	39460	3155	42615
20180528	41478	2683	44161
20180529	39256	3100	42356
20180530	37765	3664	41429
20180531	37088	3126	40214
20180601	41803	3280	45083
20180602	44631	3832	48463
20180603	42576	3124	45700
20180604	41083	2737	43820
20180605	39494	3274	42768
20180606	41126	3308	44434
20180607	36739	3535	40274
20180608	37664	3760	41424
20180609	42020	4133	46153
20180610	39942	4170	44112
20180611	37856	3770	41626
20180612	36582	4125	40707
20180613	39728	4713	44441
20180614	36817	4324	41141
20180615	37511	4032	41543
20180616	38438	4881	43319
20180617	39052	4156	43208
20180618	39606	3838	43444
20180619	37239	4316	41555
20180620	39520	4970	44490
20180621	40272	4077	44349
20180622	41128	3807	44935
20180623	40948	4458	45406
20180624	39247	3796	43043
20180625	40296	3385	43681
20180626	37313	4138	41451
20180627	34761	3658	38419
20180628	34456	5224	39680
20180629	31757	3588	35345
