예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
13	모바일	2022236228	2	개인	103900	1HDN001	쏘나타 DN8 (G)		2020-12-24	8:00:00	2020-12-25	8:00:00	1	0	24000	KA02	회원할인	골드회원	53.00	골드회원	단기	2020-06-18	
12	제휴사	2022261878	2	개인	232800	1KLY005	더 뉴 레이 (G)		2020-12-06	13:00:00	2020-12-12	13:00:00	6	0	0	KA02	회원할인	비회원	60.00	비회원	단기	2020-07-01	
13	모바일	2022296185	2	개인	54400	1HGV007	GV80 4WD 7인승 (D)		2020-12-04	11:00:00	2020-12-05	11:00:00	1	0	54400	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-07-17	
13	모바일	2022349833	2	개인	339700	1KMO100	올 뉴 모닝 (G)		2020-12-10	9:30:00	2020-12-19	16:00:00	9	7	68800	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-08-10	
11	홈페이지	2022361592	2	개인	237000	1HGN801	제네시스 G80 3.3 (G)		2020-12-27	16:00:00	2020-12-29	16:00:00	2	0	80000	KA02	회원할인	골드회원	73.00	골드회원	단기	2020-08-15	
10	직접	2022392636	2	개인	50000	1HAV151	올 뉴 아반떼 (G)		2020-12-11	20:00:00	2020-12-12	20:00:00	1	0	24000	KA04	쿠폰할인	P2013957230701	80.00	일반회원	단기	2020-09-03	
11	홈페이지	2022396039	2	개인	268050	1KCN601	더 뉴 카니발 11인승 (D)		2020-12-04	10:30:00	2020-12-06	16:30:00	2	6	71000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-05	
13	모바일	2022396935	2	개인	197500	1KST110	셀토스 4WD (D)		2020-12-01	14:00:00	2020-12-04	14:00:00	3	0	53500	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-06	
13	모바일	2022398317	2	개인	521850	1KK5201	INTERACTIVE K5 (G)		2020-12-06	9:30:00	2020-12-12	16:30:00	6	7	123200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-07	
11	홈페이지	2022399539	2	개인	116000	1KK3010	ALL NEW K3 (G)		2020-12-04	17:30:00	2020-12-06	17:30:00	2	0	32000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-07	
