date	seasonality
20201201	1
20201202	1
20201203	2
20201204	2
20201205	2
20201206	2
20201207	1
20201208	1
20201209	1
20201210	2
20201211	2
20201212	2
20201213	2
20201214	1
20201215	1
20201216	1
20201217	2
20201218	2
20201219	2
20201220	2
20201221	1
20201222	1
20201223	3
20201224	3
20201225	3
20201226	2
20201227	2
20201228	1
20201229	1
20201230	3
20201231	3
20210101	3
20210102	2
20210103	2
20210104	2
20210105	1
20210106	1
20210107	1
20210108	1
20210109	2
20210110	2
20210111	2
20210112	1
20210113	1
20210114	1
20210115	1
20210116	2
20210117	2
20210118	2
20210119	1
20210120	1
20210121	1
20210122	3
20210123	3
20210124	3
20210125	3
20210126	3
20210127	3
20210128	1
20210129	1
20210130	2
20210131	2
20210201	2
20210202	1
20210203	1
20210204	1
20210205	1
20210206	2
20210207	2
