rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-01,av_ad,2020-10-28,1,-28,1,70.0,-34
2020-12-01,av_ad,2020-10-31,1,-28,2,70.0,-31
2020-12-01,av_ad,2020-11-01,1,-28,4,70.0,-30
2020-12-01,av_ad,2020-11-05,1,-26,5,70.0,-26
2020-12-01,av_ad,2020-11-06,1,-25,6,70.0,-25
2020-12-01,av_ad,2020-11-07,1,-24,7,70.71428571428571,-24
2020-12-01,av_ad,2020-11-09,1,-22,9,71.66666666666667,-22
2020-12-01,av_ad,2020-11-14,1,-17,10,71.5,-17
2020-12-01,av_ad,2020-11-16,1,-15,13,72.3076923076923,-15
2020-12-01,av_ad,2020-11-17,1,-14,14,71.78571428571429,-14
2020-12-01,av_ad,2020-11-19,1,-12,15,71.86666666666666,-12
2020-12-01,av_ad,2020-11-25,1,-6,17,71.94117647058823,-6
2020-12-01,av_ad,2020-11-27,1,-4,19,71.73684210526316,-4
2020-12-01,av_ad,2020-11-28,1,-3,21,71.57142857142857,-3
2020-12-01,av_ad,2020-11-30,1,-1,24,71.70833333333333,-1
2020-12-01,av_ad,2020-12-01,1,0,25,71.64,0
2020-12-02,av_ad,2020-11-06,1,-26,1,75.0,-26
2020-12-02,av_ad,2020-11-09,1,-23,2,75.0,-23
2020-12-02,av_ad,2020-11-12,1,-20,3,53.333333333333336,-20
2020-12-02,av_ad,2020-11-13,1,-19,4,59.5,-19
2020-12-02,av_ad,2020-11-14,1,-18,5,64.6,-18
2020-12-02,av_ad,2020-11-17,1,-15,7,66.14285714285714,-15
2020-12-02,av_ad,2020-11-18,1,-14,9,67.88888888888889,-14
2020-12-02,av_ad,2020-11-20,1,-12,10,68.6,-12
2020-12-02,av_ad,2020-11-21,1,-11,11,68.72727272727273,-11
2020-12-02,av_ad,2020-11-29,1,-3,12,68.83333333333333,-3
2020-12-02,av_ad,2020-11-30,1,-2,13,68.53846153846153,-2
2020-12-02,av_ad,2020-12-01,1,-1,15,68.73333333333333,-1
2020-12-02,av_ad,2020-12-02,1,0,16,69.0,0
2020-12-03,av_ad,2020-10-08,2,-32,1,65.0,-56
2020-12-03,av_ad,2020-11-04,2,-28,2,67.5,-29
2020-12-03,av_ad,2020-11-07,2,-26,3,66.66666666666667,-26
2020-12-03,av_ad,2020-11-09,2,-24,4,50.0,-24
2020-12-03,av_ad,2020-11-10,2,-23,5,53.0,-23
2020-12-03,av_ad,2020-11-15,2,-18,6,55.0,-18
2020-12-03,av_ad,2020-11-16,2,-17,7,56.42857142857143,-17
2020-12-03,av_ad,2020-11-18,2,-15,8,58.125,-15
2020-12-03,av_ad,2020-11-19,2,-14,9,58.888888888888886,-14
2020-12-03,av_ad,2020-11-22,2,-11,10,60.0,-11
2020-12-03,av_ad,2020-11-25,2,-8,11,60.45454545454545,-8
2020-12-03,av_ad,2020-11-28,2,-5,12,61.25,-5
2020-12-03,av_ad,2020-11-30,2,-3,17,62.8235294117647,-3
2020-12-03,av_ad,2020-12-01,2,-2,20,62.9,-2
2020-12-04,av_ad,2020-10-19,2,-30,1,65.0,-46
2020-12-04,av_ad,2020-10-26,2,-29,2,65.0,-39
2020-12-04,av_ad,2020-11-06,2,-28,3,66.0,-28
2020-12-04,av_ad,2020-11-11,2,-23,4,65.75,-23
2020-12-04,av_ad,2020-11-12,2,-22,5,65.6,-22
2020-12-04,av_ad,2020-11-14,2,-20,7,65.85714285714286,-20
2020-12-04,av_ad,2020-11-15,2,-19,8,65.75,-19
2020-12-04,av_ad,2020-11-17,2,-17,9,65.66666666666667,-17
2020-12-04,av_ad,2020-11-18,2,-16,11,66.27272727272727,-16
2020-12-04,av_ad,2020-11-20,2,-14,12,66.16666666666667,-14
2020-12-04,av_ad,2020-11-21,2,-13,13,66.07692307692308,-13
2020-12-04,av_ad,2020-11-24,2,-10,14,61.357142857142854,-10
2020-12-04,av_ad,2020-11-27,2,-7,15,61.93333333333333,-7
2020-12-04,av_ad,2020-12-01,2,-3,17,62.294117647058826,-3
2020-12-05,av_ad,2020-10-22,2,-30,1,65.0,-44
2020-12-05,av_ad,2020-11-04,2,-28,2,65.0,-31
2020-12-05,av_ad,2020-11-09,2,-26,3,65.0,-26
2020-12-05,av_ad,2020-11-15,2,-20,4,65.0,-20
2020-12-05,av_ad,2020-11-18,2,-17,5,66.0,-17
2020-12-05,av_ad,2020-11-19,2,-16,6,65.0,-16
2020-12-05,av_ad,2020-11-20,2,-15,7,65.0,-15
2020-12-05,av_ad,2020-11-22,2,-13,10,65.5,-13
2020-12-05,av_ad,2020-11-23,2,-12,11,65.45454545454545,-12
2020-12-05,av_ad,2020-11-24,2,-11,12,65.41666666666667,-11
2020-12-05,av_ad,2020-11-30,2,-5,13,65.38461538461539,-5
2020-12-05,av_ad,2020-12-01,2,-4,15,66.0,-4
2020-12-05,av_ad,2020-12-02,2,-3,16,65.9375,-3
2020-12-05,av_ad,2020-12-03,2,-2,17,66.17647058823529,-2
2020-12-06,av_ad,2020-09-16,2,-35,1,70.0,-81
2020-12-06,av_ad,2020-10-06,2,-32,2,67.5,-61
2020-12-06,av_ad,2020-11-12,2,-24,3,66.66666666666667,-24
2020-12-06,av_ad,2020-11-13,2,-23,4,67.5,-23
2020-12-06,av_ad,2020-11-28,2,-8,5,67.0,-8
2020-12-06,av_ad,2020-11-29,2,-7,6,67.16666666666667,-7
2020-12-06,av_ad,2020-11-30,2,-6,9,65.88888888888889,-6
2020-12-06,av_ad,2020-12-03,2,-3,10,66.3,-3
2020-12-06,av_ad,2020-12-05,2,-1,12,66.08333333333333,-1
2020-12-07,av_ad,2020-11-01,1,-29,1,70.0,-36
2020-12-07,av_ad,2020-11-09,1,-28,2,72.5,-28
2020-12-07,av_ad,2020-11-12,1,-25,3,71.66666666666667,-25
2020-12-07,av_ad,2020-11-14,1,-23,4,72.5,-23
2020-12-07,av_ad,2020-11-17,1,-20,5,73.0,-20
2020-12-07,av_ad,2020-11-18,1,-19,6,60.833333333333336,-19
2020-12-07,av_ad,2020-11-19,1,-18,7,63.57142857142857,-18
2020-12-07,av_ad,2020-11-23,1,-14,10,65.5,-14
2020-12-07,av_ad,2020-11-25,1,-12,11,65.9090909090909,-12
2020-12-07,av_ad,2020-11-26,1,-11,12,66.66666666666667,-11
2020-12-07,av_ad,2020-11-27,1,-10,15,67.33333333333333,-10
2020-12-07,av_ad,2020-12-01,1,-6,17,67.3529411764706,-6
2020-12-07,av_ad,2020-12-03,1,-4,19,68.3157894736842,-4
2020-12-07,av_ad,2020-12-04,1,-3,20,68.9,-3
2020-12-07,av_ad,2020-12-05,1,-2,24,70.125,-2
2020-12-07,av_ad,2020-12-06,1,-1,28,70.82142857142857,-1
2020-12-08,av_ad,2020-11-02,1,-29,1,75.0,-36
2020-12-08,av_ad,2020-11-22,1,-16,2,72.5,-16
2020-12-08,av_ad,2020-11-27,1,-11,4,72.5,-11
2020-12-08,av_ad,2020-11-30,1,-8,5,72.6,-8
2020-12-08,av_ad,2020-12-01,1,-7,6,72.16666666666667,-7
2020-12-08,av_ad,2020-12-02,1,-6,7,72.57142857142857,-6
