rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-01,av_new,2020-10-17,1,-30,1,75.0,-45
2020-12-01,av_new,2020-11-04,1,-27,3,73.33333333333333,-27
2020-12-01,av_new,2020-11-06,1,-25,4,72.5,-25
2020-12-01,av_new,2020-11-18,1,-13,7,72.85714285714286,-13
2020-12-01,av_new,2020-11-19,1,-12,8,72.875,-12
2020-12-01,av_new,2020-11-21,1,-10,9,72.88888888888889,-10
2020-12-01,av_new,2020-11-22,1,-9,11,72.63636363636364,-9
2020-12-01,av_new,2020-11-23,1,-8,12,72.83333333333333,-8
2020-12-01,av_new,2020-11-24,1,-7,14,72.78571428571429,-7
2020-12-01,av_new,2020-11-26,1,-5,15,72.6,-5
2020-12-01,av_new,2020-11-27,1,-4,17,72.58823529411765,-4
2020-12-01,av_new,2020-11-28,1,-3,18,72.44444444444444,-3
2020-12-01,av_new,2020-11-29,1,-2,19,72.3157894736842,-2
2020-12-01,av_new,2020-11-30,1,-1,25,72.16,-1
2020-12-01,av_new,2020-12-01,1,0,26,72.38461538461539,0
2020-12-02,av_new,2020-10-08,1,-31,1,70.0,-55
2020-12-02,av_new,2020-10-14,1,-31,2,67.5,-49
2020-12-02,av_new,2020-10-16,1,-30,3,71.66666666666667,-47
2020-12-02,av_new,2020-11-07,1,-25,4,71.25,-25
2020-12-02,av_new,2020-11-12,1,-20,5,71.0,-20
2020-12-02,av_new,2020-11-17,1,-15,6,71.66666666666667,-15
2020-12-02,av_new,2020-11-21,1,-11,9,71.11111111111111,-11
2020-12-02,av_new,2020-11-23,1,-9,12,72.16666666666667,-9
2020-12-02,av_new,2020-11-24,1,-8,15,72.06666666666666,-8
2020-12-02,av_new,2020-11-25,1,-7,17,71.82352941176471,-7
2020-12-02,av_new,2020-11-26,1,-6,18,72.0,-6
2020-12-02,av_new,2020-11-27,1,-5,19,71.89473684210526,-5
2020-12-02,av_new,2020-11-28,1,-4,20,71.8,-4
2020-12-02,av_new,2020-11-29,1,-3,22,71.63636363636364,-3
2020-12-02,av_new,2020-11-30,1,-2,27,71.88888888888889,-2
2020-12-02,av_new,2020-12-01,1,-1,31,71.96774193548387,-1
2020-12-02,av_new,2020-12-02,1,0,32,72.15625,0
2020-12-03,av_new,2020-10-15,2,-31,1,70.0,-49
2020-12-03,av_new,2020-10-31,2,-28,2,67.5,-33
2020-12-03,av_new,2020-11-05,2,-28,3,66.66666666666667,-28
2020-12-03,av_new,2020-11-06,2,-27,4,66.25,-27
2020-12-03,av_new,2020-11-08,2,-25,5,66.0,-25
2020-12-03,av_new,2020-11-16,2,-17,8,65.625,-17
2020-12-03,av_new,2020-11-17,2,-16,9,66.11111111111111,-16
2020-12-03,av_new,2020-11-21,2,-12,10,66.5,-12
2020-12-03,av_new,2020-11-22,2,-11,11,66.36363636363636,-11
2020-12-03,av_new,2020-11-23,2,-10,15,66.0,-10
2020-12-03,av_new,2020-11-25,2,-8,16,66.25,-8
2020-12-03,av_new,2020-11-26,2,-7,17,66.47058823529412,-7
2020-12-03,av_new,2020-11-27,2,-6,18,66.83333333333333,-6
2020-12-03,av_new,2020-11-30,2,-3,20,66.9,-3
2020-12-03,av_new,2020-12-01,2,-2,23,66.8695652173913,-2
2020-12-03,av_new,2020-12-02,2,-1,25,66.72,-1
2020-12-03,av_new,2020-12-03,2,0,26,66.96153846153847,0
2020-12-04,av_new,2020-10-28,2,-29,1,65.0,-37
2020-12-04,av_new,2020-11-04,2,-28,2,67.5,-30
2020-12-04,av_new,2020-11-06,2,-28,3,68.33333333333333,-28
2020-12-04,av_new,2020-11-09,2,-25,4,67.5,-25
2020-12-04,av_new,2020-11-10,2,-24,7,69.28571428571429,-24
2020-12-04,av_new,2020-11-11,2,-23,8,68.75,-23
2020-12-04,av_new,2020-11-12,2,-22,9,68.33333333333333,-22
2020-12-04,av_new,2020-11-14,2,-20,10,68.0,-20
2020-12-04,av_new,2020-11-17,2,-17,12,67.25,-17
2020-12-04,av_new,2020-11-18,2,-16,13,66.84615384615384,-16
2020-12-04,av_new,2020-11-19,2,-15,14,66.71428571428571,-15
2020-12-04,av_new,2020-11-20,2,-14,15,66.6,-14
2020-12-04,av_new,2020-11-22,2,-12,16,66.8125,-12
2020-12-04,av_new,2020-11-26,2,-8,18,67.44444444444444,-8
2020-12-04,av_new,2020-11-29,2,-5,20,67.2,-5
2020-12-04,av_new,2020-12-01,2,-3,22,67.68181818181819,-3
2020-12-04,av_new,2020-12-02,2,-2,24,67.66666666666667,-2
2020-12-04,av_new,2020-12-03,2,-1,30,67.36666666666666,-1
2020-12-04,av_new,2020-12-04,2,0,31,67.45161290322581,0
2020-12-05,av_new,2020-10-07,2,-32,1,80.0,-59
2020-12-05,av_new,2020-10-13,2,-31,2,72.5,-53
2020-12-05,av_new,2020-11-07,2,-28,3,70.0,-28
2020-12-05,av_new,2020-11-11,2,-24,5,69.0,-24
2020-12-05,av_new,2020-11-17,2,-18,6,68.33333333333333,-18
2020-12-05,av_new,2020-11-19,2,-16,7,67.85714285714286,-16
2020-12-05,av_new,2020-11-21,2,-14,9,67.77777777777777,-14
2020-12-05,av_new,2020-11-23,2,-12,12,67.5,-12
2020-12-05,av_new,2020-11-26,2,-9,14,68.21428571428571,-9
2020-12-05,av_new,2020-11-27,2,-8,15,68.33333333333333,-8
2020-12-05,av_new,2020-11-28,2,-7,16,68.125,-7
2020-12-05,av_new,2020-11-29,2,-6,17,67.94117647058823,-6
2020-12-05,av_new,2020-11-30,2,-5,20,68.5,-5
2020-12-05,av_new,2020-12-01,2,-4,21,68.57142857142857,-4
2020-12-05,av_new,2020-12-02,2,-3,24,68.33333333333333,-3
2020-12-05,av_new,2020-12-03,2,-2,26,67.96153846153847,-2
2020-12-05,av_new,2020-12-04,2,-1,30,68.0,-1
2020-12-05,av_new,2020-12-05,2,0,31,68.06451612903226,0
2020-12-06,av_new,2020-09-16,2,-35,1,65.0,-81
2020-12-06,av_new,2020-10-27,2,-29,2,65.0,-40
2020-12-06,av_new,2020-11-02,2,-28,3,65.0,-34
2020-12-06,av_new,2020-11-04,2,-28,4,65.0,-32
2020-12-06,av_new,2020-11-06,2,-28,6,65.83333333333333,-30
2020-12-06,av_new,2020-11-07,2,-28,7,65.71428571428571,-29
2020-12-06,av_new,2020-11-11,2,-25,8,65.625,-25
2020-12-06,av_new,2020-11-13,2,-23,9,65.55555555555556,-23
2020-12-06,av_new,2020-11-16,2,-20,11,66.18181818181819,-20
2020-12-06,av_new,2020-11-18,2,-18,13,66.76923076923077,-18
2020-12-06,av_new,2020-11-19,2,-17,15,66.86666666666666,-17
2020-12-06,av_new,2020-11-21,2,-15,16,67.0625,-15
2020-12-06,av_new,2020-11-23,2,-13,20,66.9,-13
2020-12-06,av_new,2020-11-26,2,-10,21,67.52380952380952,-10
2020-12-06,av_new,2020-11-27,2,-9,22,67.4090909090909,-9
2020-12-06,av_new,2020-11-28,2,-8,23,67.30434782608695,-8
2020-12-06,av_new,2020-11-30,2,-6,25,67.12,-6
2020-12-06,av_new,2020-12-01,2,-5,27,67.51851851851852,-5
2020-12-06,av_new,2020-12-02,2,-4,28,67.42857142857143,-4
2020-12-06,av_new,2020-12-04,2,-2,29,67.51724137931035,-2
2020-12-07,av_new,2020-10-14,1,-31,1,80.0,-54
2020-12-07,av_new,2020-10-26,1,-30,2,77.5,-42
2020-12-07,av_new,2020-11-02,1,-29,3,76.66666666666667,-35
2020-12-07,av_new,2020-11-14,1,-23,4,75.0,-23
2020-12-07,av_new,2020-11-17,1,-20,5,76.0,-20
2020-12-07,av_new,2020-11-22,1,-15,7,75.0,-15
2020-12-07,av_new,2020-11-24,1,-13,8,74.375,-13
2020-12-07,av_new,2020-11-25,1,-12,10,73.2,-12
2020-12-07,av_new,2020-11-29,1,-8,11,73.36363636363636,-8
2020-12-07,av_new,2020-11-30,1,-7,12,73.5,-7
2020-12-07,av_new,2020-12-01,1,-6,15,73.66666666666667,-6
2020-12-07,av_new,2020-12-02,1,-5,18,73.88888888888889,-5
2020-12-07,av_new,2020-12-05,1,-2,19,73.94736842105263,-2
2020-12-07,av_new,2020-12-06,1,-1,20,74.0,-1
2020-12-07,av_new,2020-12-07,1,0,21,74.42857142857143,0
2020-12-08,av_new,2020-11-11,1,-27,2,70.0,-27
2020-12-08,av_new,2020-11-16,1,-22,3,70.0,-22
2020-12-08,av_new,2020-11-19,1,-19,4,71.25,-19
2020-12-08,av_new,2020-11-20,1,-18,5,72.0,-18
2020-12-08,av_new,2020-11-21,1,-17,7,71.42857142857143,-17
2020-12-08,av_new,2020-11-22,1,-16,8,71.25,-16
2020-12-08,av_new,2020-11-24,1,-14,10,72.0,-14
2020-12-08,av_new,2020-11-27,1,-11,11,71.81818181818181,-11
2020-12-08,av_new,2020-12-01,1,-7,13,71.53846153846153,-7
2020-12-08,av_new,2020-12-02,1,-6,15,71.66666666666667,-6
2020-12-08,av_new,2020-12-03,1,-5,17,72.23529411764706,-5
2020-12-08,av_new,2020-12-05,1,-3,18,72.38888888888889,-3
2020-12-08,av_new,2020-12-06,1,-2,20,72.8,-2
2020-12-08,av_new,2020-12-07,1,-1,25,73.96,-1
2020-12-08,av_new,2020-12-08,1,0,30,74.66666666666667,0
2020-12-09,av_new,2020-11-07,1,-28,1,70.0,-32
2020-12-09,av_new,2020-11-18,1,-21,2,70.0,-21
2020-12-09,av_new,2020-11-25,1,-14,3,70.0,-14
2020-12-09,av_new,2020-11-28,1,-11,4,70.0,-11
2020-12-09,av_new,2020-11-30,1,-9,5,71.0,-9
2020-12-09,av_new,2020-12-02,1,-7,8,70.625,-7
2020-12-09,av_new,2020-12-03,1,-6,12,71.08333333333333,-6
2020-12-09,av_new,2020-12-05,1,-4,13,71.76923076923077,-4
2020-12-09,av_new,2020-12-06,1,-3,14,72.35714285714286,-3
2020-12-09,av_new,2020-12-07,1,-2,15,72.53333333333333,-2
2020-12-09,av_new,2020-12-08,1,-1,19,74.15789473684211,-1
2020-12-09,av_new,2020-12-09,1,0,24,75.41666666666667,0
2020-12-10,av_new,2020-10-25,2,-30,1,65.0,-46
2020-12-10,av_new,2020-10-26,2,-30,2,67.5,-45
2020-12-10,av_new,2020-11-06,2,-28,3,65.66666666666667,-34
2020-12-10,av_new,2020-11-08,2,-28,4,65.5,-32
2020-12-10,av_new,2020-11-12,2,-28,5,66.4,-28
2020-12-10,av_new,2020-11-13,2,-27,6,65.66666666666667,-27
2020-12-10,av_new,2020-11-14,2,-26,7,65.57142857142857,-26
2020-12-10,av_new,2020-11-15,2,-25,8,65.5,-25
2020-12-10,av_new,2020-11-20,2,-20,9,65.44444444444444,-20
2020-12-10,av_new,2020-11-23,2,-17,10,65.7,-17
2020-12-10,av_new,2020-11-24,2,-16,11,66.0909090909091,-16
2020-12-10,av_new,2020-11-26,2,-14,12,66.0,-14
2020-12-10,av_new,2020-11-30,2,-10,13,65.92307692307692,-10
2020-12-10,av_new,2020-12-01,2,-9,15,65.8,-9
2020-12-10,av_new,2020-12-03,2,-7,16,65.75,-7
2020-12-10,av_new,2020-12-04,2,-6,17,65.88235294117646,-6
2020-12-10,av_new,2020-12-07,2,-3,20,65.6,-3
2020-12-10,av_new,2020-12-08,2,-2,21,65.80952380952381,-2
2020-12-10,av_new,2020-12-09,2,-1,27,66.11111111111111,-1
2020-12-10,av_new,2020-12-10,2,0,28,66.25,0
2020-12-11,av_new,2020-09-16,2,-36,1,70.0,-86
2020-12-11,av_new,2020-11-08,2,-28,2,70.0,-33
2020-12-11,av_new,2020-11-11,2,-28,3,68.33333333333333,-30
2020-12-11,av_new,2020-11-14,2,-27,4,66.25,-27
2020-12-11,av_new,2020-11-18,2,-23,5,66.0,-23
2020-12-11,av_new,2020-11-23,2,-18,6,65.83333333333333,-18
2020-12-11,av_new,2020-11-28,2,-13,7,63.57142857142857,-13
2020-12-11,av_new,2020-11-29,2,-12,8,63.125,-12
2020-12-11,av_new,2020-11-30,2,-11,9,64.22222222222223,-11
2020-12-11,av_new,2020-12-01,2,-10,10,64.8,-10
2020-12-11,av_new,2020-12-03,2,-8,11,65.27272727272727,-8
2020-12-11,av_new,2020-12-06,2,-5,15,65.4,-5
2020-12-11,av_new,2020-12-08,2,-3,16,65.6875,-3
2020-12-11,av_new,2020-12-09,2,-2,17,65.94117647058823,-2
2020-12-11,av_new,2020-12-10,2,-1,23,66.1304347826087,-1
2020-12-11,av_new,2020-12-11,2,0,27,66.07407407407408,0
2020-12-12,av_new,2020-10-18,2,-31,1,65.0,-55
2020-12-12,av_new,2020-11-02,2,-29,2,65.0,-40
2020-12-12,av_new,2020-11-04,2,-29,3,66.0,-38
2020-12-12,av_new,2020-11-11,2,-28,4,65.75,-31
2020-12-12,av_new,2020-11-12,2,-28,5,65.6,-30
2020-12-12,av_new,2020-11-15,2,-27,6,66.33333333333333,-27
2020-12-12,av_new,2020-11-17,2,-25,7,66.57142857142857,-25
2020-12-12,av_new,2020-11-20,2,-22,8,66.375,-22
2020-12-12,av_new,2020-11-21,2,-21,10,66.1,-21
2020-12-12,av_new,2020-11-23,2,-19,12,65.66666666666667,-19
2020-12-12,av_new,2020-11-27,2,-15,13,64.46153846153847,-15
2020-12-12,av_new,2020-11-28,2,-14,14,64.71428571428571,-14
2020-12-12,av_new,2020-11-29,2,-13,15,65.06666666666666,-13
2020-12-12,av_new,2020-12-02,2,-10,16,65.0625,-10
2020-12-12,av_new,2020-12-04,2,-8,18,64.77777777777777,-8
2020-12-12,av_new,2020-12-06,2,-6,20,64.8,-6
2020-12-12,av_new,2020-12-07,2,-5,21,64.80952380952381,-5
2020-12-12,av_new,2020-12-09,2,-3,23,65.04347826086956,-3
2020-12-12,av_new,2020-12-10,2,-2,26,65.15384615384616,-2
2020-12-12,av_new,2020-12-11,2,-1,27,65.14814814814815,-1
2020-12-12,av_new,2020-12-12,2,0,28,65.14285714285714,0
2020-12-13,av_new,2020-09-20,2,-36,1,68.0,-84
2020-12-13,av_new,2020-10-31,2,-30,2,66.5,-43
2020-12-13,av_new,2020-11-07,2,-29,3,66.0,-36
2020-12-13,av_new,2020-11-15,2,-28,4,65.75,-28
2020-12-13,av_new,2020-11-16,2,-27,5,66.6,-27
2020-12-13,av_new,2020-11-17,2,-26,6,67.16666666666667,-26
2020-12-13,av_new,2020-11-19,2,-24,7,66.85714285714286,-24
2020-12-13,av_new,2020-11-24,2,-19,9,67.33333333333333,-19
2020-12-13,av_new,2020-11-27,2,-16,10,67.1,-16
2020-12-13,av_new,2020-11-28,2,-15,11,66.9090909090909,-15
2020-12-13,av_new,2020-11-29,2,-14,12,66.75,-14
2020-12-13,av_new,2020-11-30,2,-13,13,66.61538461538461,-13
2020-12-13,av_new,2020-12-01,2,-12,15,66.4,-12
2020-12-13,av_new,2020-12-04,2,-9,16,66.625,-9
2020-12-13,av_new,2020-12-07,2,-6,18,67.0,-6
2020-12-13,av_new,2020-12-08,2,-5,19,67.3157894736842,-5
2020-12-13,av_new,2020-12-09,2,-4,20,67.35,-4
2020-12-13,av_new,2020-12-10,2,-3,22,67.13636363636364,-3
2020-12-13,av_new,2020-12-11,2,-2,24,67.08333333333333,-2
2020-12-13,av_new,2020-12-12,2,-1,25,67.12,-1
2020-12-13,av_new,2020-12-13,2,0,29,67.55172413793103,0
2020-12-14,av_new,2020-09-14,1,-36,1,80.0,-91
2020-12-14,av_new,2020-10-20,1,-31,2,75.0,-55
2020-12-14,av_new,2020-11-14,1,-28,3,73.33333333333333,-30
2020-12-14,av_new,2020-11-15,1,-28,6,73.5,-29
2020-12-14,av_new,2020-11-17,1,-27,8,72.375,-27
2020-12-14,av_new,2020-11-20,1,-24,11,71.27272727272727,-24
2020-12-14,av_new,2020-12-11,1,-3,13,69.53846153846153,-3
2020-12-14,av_new,2020-12-12,1,-2,14,68.85714285714286,-2
2020-12-14,av_new,2020-12-13,1,-1,15,67.6,-1
2020-12-14,av_new,2020-12-14,1,0,18,67.22222222222223,0
2020-12-15,av_new,2020-10-26,1,-31,1,75.0,-50
2020-12-15,av_new,2020-11-03,1,-30,2,72.5,-42
2020-12-15,av_new,2020-11-06,1,-29,3,72.66666666666667,-39
2020-12-15,av_new,2020-11-09,1,-29,4,72.0,-36
2020-12-15,av_new,2020-11-14,1,-28,5,57.6,-31
