rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-01,k3,2020-11-08,1,-23,2,72.5,-23
2020-12-01,k3,2020-11-09,1,-22,3,73.33333333333333,-22
2020-12-01,k3,2020-11-11,1,-20,4,73.75,-20
2020-12-01,k3,2020-11-13,1,-18,5,74.0,-18
2020-12-01,k3,2020-11-16,1,-15,6,74.66666666666667,-15
2020-12-01,k3,2020-11-17,1,-14,8,73.125,-14
2020-12-01,k3,2020-11-18,1,-13,12,72.58333333333333,-13
2020-12-01,k3,2020-11-19,1,-12,14,72.78571428571429,-12
2020-12-01,k3,2020-11-21,1,-10,15,73.26666666666667,-10
2020-12-01,k3,2020-11-23,1,-8,17,72.88235294117646,-8
2020-12-01,k3,2020-11-24,1,-7,19,72.57894736842105,-7
2020-12-01,k3,2020-11-25,1,-6,20,72.45,-6
2020-12-01,k3,2020-11-26,1,-5,21,72.47619047619048,-5
2020-12-01,k3,2020-11-27,1,-4,23,72.69565217391305,-4
2020-12-01,k3,2020-11-30,1,-1,30,72.43333333333334,-1
2020-12-01,k3,2020-12-01,1,0,40,73.05,0
2020-12-02,k3,2020-10-28,1,-29,1,75.0,-35
2020-12-02,k3,2020-11-10,1,-22,2,75.0,-22
2020-12-02,k3,2020-11-14,1,-18,3,73.33333333333333,-18
2020-12-02,k3,2020-11-16,1,-16,4,71.25,-16
2020-12-02,k3,2020-11-20,1,-12,7,70.71428571428571,-12
2020-12-02,k3,2020-11-21,1,-11,10,70.8,-11
2020-12-02,k3,2020-11-22,1,-10,12,70.91666666666667,-10
2020-12-02,k3,2020-11-24,1,-8,13,70.84615384615384,-8
2020-12-02,k3,2020-11-25,1,-7,16,71.3125,-7
2020-12-02,k3,2020-11-26,1,-6,17,71.23529411764706,-6
2020-12-02,k3,2020-11-27,1,-5,19,71.10526315789474,-5
2020-12-02,k3,2020-11-29,1,-3,20,71.3,-3
2020-12-02,k3,2020-11-30,1,-2,24,71.20833333333333,-2
2020-12-02,k3,2020-12-01,1,-1,31,71.12903225806451,-1
2020-12-02,k3,2020-12-02,1,0,37,71.02702702702703,0
2020-12-03,k3,2020-11-01,2,-28,1,65.0,-32
2020-12-03,k3,2020-11-05,2,-28,2,66.5,-28
2020-12-03,k3,2020-11-08,2,-25,3,67.0,-25
2020-12-03,k3,2020-11-16,2,-17,5,66.2,-17
2020-12-03,k3,2020-11-18,2,-15,6,63.5,-15
2020-12-03,k3,2020-11-24,2,-9,7,64.42857142857143,-9
2020-12-03,k3,2020-11-26,2,-7,8,64.5,-7
2020-12-03,k3,2020-11-29,2,-4,9,65.11111111111111,-4
2020-12-03,k3,2020-11-30,2,-3,10,65.1,-3
2020-12-03,k3,2020-12-01,2,-2,12,65.5,-2
2020-12-03,k3,2020-12-02,2,-1,15,65.4,-1
2020-12-03,k3,2020-12-03,2,0,22,66.13636363636364,0
2020-12-04,k3,2020-09-07,2,-36,1,65.0,-88
2020-12-04,k3,2020-09-17,2,-35,2,65.0,-78
2020-12-04,k3,2020-10-21,2,-30,3,65.0,-44
2020-12-04,k3,2020-10-28,2,-29,4,66.25,-37
2020-12-04,k3,2020-11-04,2,-28,5,66.0,-30
2020-12-04,k3,2020-11-10,2,-24,8,66.25,-24
2020-12-04,k3,2020-11-16,2,-18,9,67.0,-18
2020-12-04,k3,2020-11-17,2,-17,10,62.3,-17
2020-12-04,k3,2020-11-19,2,-15,11,62.54545454545455,-15
2020-12-04,k3,2020-11-20,2,-14,13,62.92307692307692,-14
2020-12-04,k3,2020-11-24,2,-10,14,63.285714285714285,-10
2020-12-04,k3,2020-11-25,2,-9,16,59.4375,-9
2020-12-04,k3,2020-11-27,2,-7,18,60.333333333333336,-7
2020-12-04,k3,2020-11-28,2,-6,19,60.73684210526316,-6
2020-12-04,k3,2020-11-29,2,-5,21,61.38095238095238,-5
2020-12-04,k3,2020-11-30,2,-4,22,61.54545454545455,-4
2020-12-04,k3,2020-12-02,2,-2,23,61.69565217391305,-2
2020-12-04,k3,2020-12-03,2,-1,25,61.96,-1
2020-12-04,k3,2020-12-04,2,0,34,63.794117647058826,0
2020-12-05,k3,2020-10-28,2,-29,1,73.0,-38
2020-12-05,k3,2020-11-04,2,-28,2,70.5,-31
2020-12-05,k3,2020-11-10,2,-25,3,69.66666666666667,-25
2020-12-05,k3,2020-11-12,2,-23,5,73.8,-23
2020-12-05,k3,2020-11-14,2,-21,6,72.33333333333333,-21
2020-12-05,k3,2020-11-16,2,-19,7,71.28571428571429,-19
2020-12-05,k3,2020-11-17,2,-18,8,70.875,-18
2020-12-05,k3,2020-11-18,2,-17,9,70.22222222222223,-17
2020-12-05,k3,2020-11-19,2,-16,12,68.91666666666667,-16
2020-12-05,k3,2020-11-20,2,-15,14,68.35714285714286,-15
2020-12-05,k3,2020-11-21,2,-14,15,68.46666666666667,-14
2020-12-05,k3,2020-11-22,2,-13,16,68.25,-13
2020-12-05,k3,2020-11-23,2,-12,18,68.16666666666667,-12
2020-12-05,k3,2020-11-24,2,-11,19,68.0,-11
2020-12-05,k3,2020-11-26,2,-9,21,67.71428571428571,-9
2020-12-05,k3,2020-11-29,2,-6,23,67.91304347826087,-6
2020-12-05,k3,2020-12-01,2,-4,27,67.66666666666667,-4
2020-12-05,k3,2020-12-02,2,-3,30,67.56666666666666,-3
2020-12-05,k3,2020-12-03,2,-2,33,67.93939393939394,-2
2020-12-05,k3,2020-12-04,2,-1,38,67.89473684210526,-1
2020-12-05,k3,2020-12-05,2,0,40,67.95,0
2020-12-06,k3,2020-09-08,2,-36,1,68.0,-89
2020-12-06,k3,2020-09-20,2,-35,2,66.5,-77
2020-12-06,k3,2020-10-20,2,-30,3,66.0,-47
2020-12-06,k3,2020-10-24,2,-30,4,65.75,-43
2020-12-06,k3,2020-10-29,2,-29,5,66.6,-38
2020-12-06,k3,2020-11-09,2,-27,6,67.16666666666667,-27
2020-12-06,k3,2020-11-16,2,-20,9,66.44444444444444,-20
2020-12-06,k3,2020-11-18,2,-18,10,66.3,-18
2020-12-06,k3,2020-11-19,2,-17,12,67.33333333333333,-17
2020-12-06,k3,2020-11-22,2,-14,13,67.15384615384616,-14
2020-12-06,k3,2020-11-27,2,-9,14,67.35714285714286,-9
2020-12-06,k3,2020-11-28,2,-8,15,67.53333333333333,-8
2020-12-06,k3,2020-11-30,2,-6,16,67.6875,-6
2020-12-06,k3,2020-12-02,2,-4,18,67.66666666666667,-4
2020-12-06,k3,2020-12-03,2,-3,19,67.52631578947368,-3
2020-12-06,k3,2020-12-04,2,-2,22,67.27272727272727,-2
2020-12-06,k3,2020-12-05,2,-1,24,67.625,-1
2020-12-06,k3,2020-12-06,2,0,34,67.79411764705883,0
2020-12-07,k3,2020-10-08,1,-32,1,65.0,-60
2020-12-07,k3,2020-10-13,1,-31,2,70.0,-55
2020-12-07,k3,2020-10-15,1,-31,3,69.33333333333333,-53
2020-12-07,k3,2020-10-23,1,-30,4,68.25,-45
2020-12-07,k3,2020-10-27,1,-29,5,69.6,-41
2020-12-07,k3,2020-11-11,1,-26,6,69.66666666666667,-26
2020-12-07,k3,2020-11-13,1,-24,7,71.85714285714286,-24
2020-12-07,k3,2020-11-14,1,-23,8,71.625,-23
2020-12-07,k3,2020-11-16,1,-21,9,72.0,-21
2020-12-07,k3,2020-11-18,1,-19,10,71.8,-19
2020-12-07,k3,2020-11-19,1,-18,11,72.0909090909091,-18
2020-12-07,k3,2020-11-22,1,-15,12,72.33333333333333,-15
2020-12-07,k3,2020-11-23,1,-14,13,72.53846153846153,-14
2020-12-07,k3,2020-11-24,1,-13,14,72.35714285714286,-13
2020-12-07,k3,2020-11-25,1,-12,15,72.2,-12
2020-12-07,k3,2020-11-27,1,-10,16,72.0625,-10
2020-12-07,k3,2020-11-28,1,-9,17,71.94117647058823,-9
2020-12-07,k3,2020-12-01,1,-6,18,71.83333333333333,-6
2020-12-07,k3,2020-12-02,1,-5,21,72.04761904761905,-5
2020-12-07,k3,2020-12-03,1,-4,22,72.0909090909091,-4
2020-12-07,k3,2020-12-04,1,-3,24,72.33333333333333,-3
2020-12-07,k3,2020-12-05,1,-2,26,72.73076923076923,-2
2020-12-07,k3,2020-12-06,1,-1,31,73.35483870967742,-1
2020-12-07,k3,2020-12-07,1,0,42,72.52380952380952,0
2020-12-08,k3,2020-11-04,1,-28,1,75.0,-34
2020-12-08,k3,2020-11-11,1,-27,2,72.5,-27
2020-12-08,k3,2020-11-20,1,-18,3,71.66666666666667,-18
2020-12-08,k3,2020-11-27,1,-11,4,72.0,-11
2020-12-08,k3,2020-12-01,1,-7,6,71.83333333333333,-7
2020-12-08,k3,2020-12-03,1,-5,7,71.57142857142857,-5
2020-12-08,k3,2020-12-04,1,-4,10,71.9,-4
2020-12-08,k3,2020-12-05,1,-3,11,72.45454545454545,-3
2020-12-08,k3,2020-12-07,1,-1,14,73.35714285714286,-1
2020-12-08,k3,2020-12-08,1,0,21,75.28571428571429,0
2020-12-09,k3,2020-11-10,1,-28,1,75.0,-29
2020-12-09,k3,2020-11-11,1,-28,2,76.5,-28
2020-12-09,k3,2020-11-15,1,-24,3,78.66666666666667,-24
2020-12-09,k3,2020-11-17,1,-22,4,77.75,-22
2020-12-09,k3,2020-11-20,1,-19,5,77.8,-19
2020-12-09,k3,2020-11-23,1,-16,6,76.5,-16
2020-12-09,k3,2020-11-24,1,-15,7,75.57142857142857,-15
2020-12-09,k3,2020-12-02,1,-7,8,74.875,-7
2020-12-09,k3,2020-12-03,1,-6,10,74.9,-6
2020-12-09,k3,2020-12-04,1,-5,11,74.9090909090909,-5
2020-12-09,k3,2020-12-05,1,-4,12,75.16666666666667,-4
2020-12-09,k3,2020-12-08,1,-1,14,75.14285714285714,-1
2020-12-09,k3,2020-12-09,1,0,21,77.23809523809524,0
2020-12-10,k3,2020-10-24,2,-30,1,65.0,-47
2020-12-10,k3,2020-11-25,2,-15,3,70.0,-15
2020-12-10,k3,2020-11-26,2,-14,4,68.75,-14
2020-12-10,k3,2020-11-29,2,-11,5,68.0,-11
2020-12-10,k3,2020-11-30,2,-10,7,67.85714285714286,-10
2020-12-10,k3,2020-12-01,2,-9,8,67.5,-9
2020-12-10,k3,2020-12-02,2,-8,9,67.22222222222223,-8
2020-12-10,k3,2020-12-08,2,-2,11,67.27272727272727,-2
2020-12-10,k3,2020-12-09,2,-1,15,67.2,-1
2020-12-10,k3,2020-12-10,2,0,35,69.28571428571429,0
2020-12-11,k3,2020-10-14,2,-32,1,65.0,-58
2020-12-11,k3,2020-10-29,2,-30,2,67.5,-43
2020-12-11,k3,2020-11-03,2,-29,3,66.66666666666667,-38
2020-12-11,k3,2020-11-05,2,-29,4,67.5,-36
2020-12-11,k3,2020-11-10,2,-28,7,69.0,-31
2020-12-11,k3,2020-11-13,2,-28,8,70.375,-28
2020-12-11,k3,2020-11-25,2,-16,9,70.33333333333333,-16
2020-12-11,k3,2020-11-26,2,-15,10,69.8,-15
2020-12-11,k3,2020-12-01,2,-10,11,69.0909090909091,-10
2020-12-11,k3,2020-12-03,2,-8,12,70.0,-8
2020-12-11,k3,2020-12-07,2,-4,13,69.61538461538461,-4
2020-12-11,k3,2020-12-08,2,-3,14,69.64285714285714,-3
2020-12-11,k3,2020-12-09,2,-2,18,69.0,-2
2020-12-11,k3,2020-12-10,2,-1,21,68.71428571428571,-1
2020-12-11,k3,2020-12-11,2,0,34,69.17647058823529,0
2020-12-12,k3,2020-10-15,2,-32,1,0.0,-58
2020-12-12,k3,2020-10-19,2,-31,2,40.0,-54
2020-12-12,k3,2020-11-06,2,-29,4,53.75,-36
2020-12-12,k3,2020-11-08,2,-28,5,57.0,-34
2020-12-12,k3,2020-11-11,2,-28,7,59.285714285714285,-31
2020-12-12,k3,2020-11-15,2,-27,8,60.625,-27
2020-12-12,k3,2020-11-23,2,-19,9,61.111111111111114,-19
2020-12-12,k3,2020-11-24,2,-18,10,61.5,-18
2020-12-12,k3,2020-11-25,2,-17,11,62.27272727272727,-17
2020-12-12,k3,2020-11-27,2,-15,12,62.916666666666664,-15
2020-12-12,k3,2020-11-30,2,-12,13,63.07692307692308,-12
2020-12-12,k3,2020-12-01,2,-11,14,63.42857142857143,-11
2020-12-12,k3,2020-12-07,2,-5,19,60.421052631578945,-5
2020-12-12,k3,2020-12-08,2,-4,22,61.27272727272727,-4
2020-12-12,k3,2020-12-10,2,-2,23,61.43478260869565,-2
2020-12-12,k3,2020-12-11,2,-1,27,62.074074074074076,-1
2020-12-12,k3,2020-12-12,2,0,39,63.76923076923077,0
2020-12-13,k3,2020-11-05,2,-29,1,65.0,-38
2020-12-13,k3,2020-11-09,2,-28,2,65.0,-34
2020-12-13,k3,2020-11-13,2,-28,3,63.333333333333336,-30
2020-12-13,k3,2020-11-15,2,-28,4,63.75,-28
2020-12-13,k3,2020-11-16,2,-27,5,64.0,-27
2020-12-13,k3,2020-11-21,2,-22,7,65.0,-22
2020-12-13,k3,2020-11-24,2,-19,8,65.0,-19
2020-12-13,k3,2020-11-25,2,-18,11,65.27272727272727,-18
2020-12-13,k3,2020-11-28,2,-15,12,65.25,-15
2020-12-13,k3,2020-11-29,2,-14,13,65.23076923076923,-14
2020-12-13,k3,2020-11-30,2,-13,14,65.21428571428571,-13
2020-12-13,k3,2020-12-01,2,-12,15,65.2,-12
2020-12-13,k3,2020-12-02,2,-11,16,65.375,-11
2020-12-13,k3,2020-12-03,2,-10,17,65.6470588235294,-10
2020-12-13,k3,2020-12-04,2,-9,19,65.73684210526316,-9
2020-12-13,k3,2020-12-06,2,-7,20,65.45,-7
2020-12-13,k3,2020-12-07,2,-6,22,65.63636363636364,-6
2020-12-13,k3,2020-12-09,2,-4,24,65.79166666666667,-4
2020-12-13,k3,2020-12-10,2,-3,27,65.70370370370371,-3
2020-12-13,k3,2020-12-11,2,-2,29,65.65517241379311,-2
2020-12-13,k3,2020-12-12,2,-1,33,65.81818181818181,-1
2020-12-13,k3,2020-12-13,2,0,35,65.91428571428571,0
2020-12-14,k3,2020-10-28,1,-30,1,65.0,-47
2020-12-14,k3,2020-11-01,1,-30,2,67.5,-43
2020-12-14,k3,2020-11-11,1,-28,3,68.33333333333333,-33
2020-12-14,k3,2020-11-13,1,-28,4,68.75,-31
2020-12-14,k3,2020-11-18,1,-26,5,69.0,-26
2020-12-14,k3,2020-11-19,1,-25,8,70.0,-25
2020-12-14,k3,2020-11-25,1,-19,9,70.0,-19
2020-12-14,k3,2020-11-26,1,-18,10,70.5,-18
2020-12-14,k3,2020-12-02,1,-12,11,69.54545454545455,-12
2020-12-14,k3,2020-12-07,1,-7,12,68.75,-7
2020-12-14,k3,2020-12-09,1,-5,14,68.57142857142857,-5
2020-12-14,k3,2020-12-10,1,-4,17,65.29411764705883,-4
2020-12-14,k3,2020-12-12,1,-2,18,65.55555555555556,-2
2020-12-14,k3,2020-12-13,1,-1,23,66.73913043478261,-1
2020-12-14,k3,2020-12-14,1,0,24,67.20833333333333,0
2020-12-15,k3,2020-11-05,1,-29,1,75.0,-40
2020-12-15,k3,2020-11-11,1,-28,2,72.5,-34
2020-12-15,k3,2020-11-13,1,-28,3,71.66666666666667,-32
2020-12-15,k3,2020-11-22,1,-23,4,72.5,-23
2020-12-15,k3,2020-11-24,1,-21,5,74.0,-21
2020-12-15,k3,2020-11-26,1,-19,7,74.71428571428571,-19
2020-12-15,k3,2020-12-04,1,-11,8,74.75,-11
2020-12-15,k3,2020-12-08,1,-7,9,74.22222222222223,-7
2020-12-15,k3,2020-12-11,1,-4,10,73.8,-4
2020-12-15,k3,2020-12-12,1,-3,16,77.375,-3
2020-12-15,k3,2020-12-13,1,-2,20,78.15,-2
2020-12-15,k3,2020-12-14,1,-1,23,78.82608695652173,-1
2020-12-15,k3,2020-12-15,1,0,27,79.29629629629629,0
2020-12-16,k3,2020-11-03,1,-30,1,67.0,-43
2020-12-16,k3,2020-11-09,1,-29,2,68.5,-37
2020-12-16,k3,2020-11-14,1,-28,3,69.0,-32
2020-12-16,k3,2020-11-20,1,-26,4,71.75,-26
2020-12-16,k3,2020-11-22,1,-24,5,71.4,-24
2020-12-16,k3,2020-11-27,1,-19,6,72.83333333333333,-19
2020-12-16,k3,2020-11-30,1,-16,7,71.0,-16
2020-12-16,k3,2020-12-06,1,-10,8,70.875,-10
2020-12-16,k3,2020-12-07,1,-9,9,71.11111111111111,-9
2020-12-16,k3,2020-12-08,1,-8,10,71.0,-8
2020-12-16,k3,2020-12-10,1,-6,11,66.36363636363636,-6
2020-12-16,k3,2020-12-11,1,-5,13,68.46153846153847,-5
2020-12-16,k3,2020-12-12,1,-4,15,64.66666666666667,-4
2020-12-16,k3,2020-12-13,1,-3,18,67.66666666666667,-3
2020-12-16,k3,2020-12-14,1,-2,24,67.875,-2
