rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-01,vlst,2020-11-01,1,-28,1,70.0,-30
2020-12-01,vlst,2020-11-10,1,-21,2,70.0,-21
2020-12-01,vlst,2020-11-16,1,-15,3,63.333333333333336,-15
2020-12-01,vlst,2020-11-17,1,-14,5,68.0,-14
2020-12-01,vlst,2020-11-18,1,-13,6,68.33333333333333,-13
2020-12-01,vlst,2020-11-19,1,-12,7,69.28571428571429,-12
2020-12-01,vlst,2020-11-25,1,-6,8,69.75,-6
2020-12-01,vlst,2020-11-26,1,-5,9,70.33333333333333,-5
2020-12-01,vlst,2020-11-27,1,-4,10,70.8,-4
2020-12-01,vlst,2020-11-30,1,-1,11,70.72727272727273,-1
2020-12-01,vlst,2020-12-01,1,0,12,70.91666666666667,0
2020-12-02,vlst,2020-10-25,1,-29,1,70.0,-38
2020-12-02,vlst,2020-11-09,1,-23,2,71.5,-23
2020-12-02,vlst,2020-11-11,1,-21,3,71.0,-21
2020-12-02,vlst,2020-11-18,1,-14,4,70.75,-14
2020-12-02,vlst,2020-11-27,1,-5,5,70.6,-5
2020-12-02,vlst,2020-11-30,1,-2,6,70.5,-2
2020-12-02,vlst,2020-12-01,1,-1,7,70.42857142857143,-1
2020-12-03,vlst,2020-11-03,2,-28,1,65.0,-30
2020-12-03,vlst,2020-11-10,2,-23,2,65.0,-23
2020-12-03,vlst,2020-11-13,2,-20,3,66.66666666666667,-20
2020-12-03,vlst,2020-11-14,2,-19,4,66.25,-19
2020-12-03,vlst,2020-11-25,2,-8,5,66.6,-8
2020-12-03,vlst,2020-11-26,2,-7,6,66.33333333333333,-7
2020-12-03,vlst,2020-11-27,2,-6,8,66.0,-6
2020-12-03,vlst,2020-11-29,2,-4,9,65.88888888888889,-4
2020-12-03,vlst,2020-12-03,2,0,10,66.3,0
2020-12-04,vlst,2020-10-23,2,-30,1,50.0,-42
2020-12-04,vlst,2020-11-14,2,-20,2,57.5,-20
2020-12-04,vlst,2020-11-18,2,-16,4,61.25,-16
2020-12-04,vlst,2020-11-27,2,-7,5,63.0,-7
2020-12-05,vlst,2020-09-20,2,-34,1,65.0,-76
