rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-01,av_ad,2020-10-28,1,-28,70.0,1,-34
2020-12-01,av_ad,2020-10-31,1,-28,70.0,1,-31
2020-12-01,av_ad,2020-11-01,1,-28,70.0,2,-30
2020-12-01,av_ad,2020-11-05,1,-26,70.0,1,-26
2020-12-01,av_ad,2020-11-06,1,-25,70.0,1,-25
2020-12-01,av_ad,2020-11-07,1,-24,75.0,1,-24
2020-12-01,av_ad,2020-11-09,1,-22,75.0,2,-22
2020-12-01,av_ad,2020-11-14,1,-17,70.0,1,-17
2020-12-01,av_ad,2020-11-16,1,-15,75.0,3,-15
2020-12-01,av_ad,2020-11-17,1,-14,65.0,1,-14
2020-12-01,av_ad,2020-11-19,1,-12,73.0,1,-12
2020-12-01,av_ad,2020-11-25,1,-6,72.5,2,-6
2020-12-01,av_ad,2020-11-27,1,-4,70.0,2,-4
2020-12-01,av_ad,2020-11-28,1,-3,70.0,2,-3
2020-12-01,av_ad,2020-11-30,1,-1,72.66666666666667,3,-1
2020-12-01,av_ad,2020-12-01,1,0,70.0,1,0
2020-12-02,av_ad,2020-11-06,1,-26,75.0,1,-26
2020-12-02,av_ad,2020-11-09,1,-23,75.0,1,-23
2020-12-02,av_ad,2020-11-12,1,-20,10.0,1,-20
2020-12-02,av_ad,2020-11-13,1,-19,78.0,1,-19
2020-12-02,av_ad,2020-11-14,1,-18,85.0,1,-18
2020-12-02,av_ad,2020-11-17,1,-15,70.0,2,-15
2020-12-02,av_ad,2020-11-18,1,-14,74.0,2,-14
2020-12-02,av_ad,2020-11-20,1,-12,75.0,1,-12
2020-12-02,av_ad,2020-11-21,1,-11,70.0,1,-11
2020-12-02,av_ad,2020-11-29,1,-3,70.0,1,-3
2020-12-02,av_ad,2020-11-30,1,-2,65.0,1,-2
2020-12-02,av_ad,2020-12-01,1,-1,70.0,2,-1
2020-12-02,av_ad,2020-12-02,1,0,73.0,1,0
2020-12-03,av_ad,2020-10-08,2,-32,65.0,1,-56
2020-12-03,av_ad,2020-11-04,2,-28,70.0,1,-29
2020-12-03,av_ad,2020-11-07,2,-26,65.0,1,-26
2020-12-03,av_ad,2020-11-09,2,-24,0.0,1,-24
2020-12-03,av_ad,2020-11-10,2,-23,65.0,1,-23
2020-12-03,av_ad,2020-11-15,2,-18,65.0,1,-18
2020-12-03,av_ad,2020-11-16,2,-17,65.0,1,-17
2020-12-03,av_ad,2020-11-18,2,-15,70.0,1,-15
2020-12-03,av_ad,2020-11-19,2,-14,65.0,1,-14
2020-12-03,av_ad,2020-11-22,2,-11,70.0,1,-11
2020-12-03,av_ad,2020-11-25,2,-8,65.0,1,-8
2020-12-03,av_ad,2020-11-28,2,-5,70.0,1,-5
2020-12-03,av_ad,2020-11-30,2,-3,66.6,5,-3
2020-12-03,av_ad,2020-12-01,2,-2,63.333333333333336,3,-2
2020-12-04,av_ad,2020-10-19,2,-30,65.0,1,-46
2020-12-04,av_ad,2020-10-26,2,-29,65.0,1,-39
2020-12-04,av_ad,2020-11-06,2,-28,68.0,1,-28
2020-12-04,av_ad,2020-11-11,2,-23,65.0,1,-23
2020-12-04,av_ad,2020-11-12,2,-22,65.0,1,-22
2020-12-04,av_ad,2020-11-14,2,-20,66.5,2,-20
2020-12-04,av_ad,2020-11-15,2,-19,65.0,1,-19
2020-12-04,av_ad,2020-11-17,2,-17,65.0,1,-17
2020-12-04,av_ad,2020-11-18,2,-16,69.0,2,-16
2020-12-04,av_ad,2020-11-20,2,-14,65.0,1,-14
2020-12-04,av_ad,2020-11-21,2,-13,65.0,1,-13
2020-12-04,av_ad,2020-11-24,2,-10,0.0,1,-10
2020-12-04,av_ad,2020-11-27,2,-7,70.0,1,-7
2020-12-04,av_ad,2020-12-01,2,-3,65.0,2,-3
2020-12-05,av_ad,2020-10-22,2,-30,65.0,1,-44
2020-12-05,av_ad,2020-11-04,2,-28,65.0,1,-31
2020-12-05,av_ad,2020-11-09,2,-26,65.0,1,-26
