rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-01,av_new,2020-10-17,1,-30,75.0,1,-45
2020-12-01,av_new,2020-11-04,1,-27,72.5,2,-27
2020-12-01,av_new,2020-11-06,1,-25,70.0,1,-25
2020-12-01,av_new,2020-11-18,1,-13,73.33333333333333,3,-13
2020-12-01,av_new,2020-11-19,1,-12,73.0,1,-12
2020-12-01,av_new,2020-11-21,1,-10,73.0,1,-10
2020-12-01,av_new,2020-11-22,1,-9,71.5,2,-9
2020-12-01,av_new,2020-11-23,1,-8,75.0,1,-8
2020-12-01,av_new,2020-11-24,1,-7,72.5,2,-7
2020-12-01,av_new,2020-11-26,1,-5,70.0,1,-5
2020-12-01,av_new,2020-11-27,1,-4,72.5,2,-4
2020-12-01,av_new,2020-11-28,1,-3,70.0,1,-3
2020-12-01,av_new,2020-11-29,1,-2,70.0,1,-2
2020-12-01,av_new,2020-11-30,1,-1,71.66666666666667,6,-1
2020-12-01,av_new,2020-12-01,1,0,78.0,1,0
2020-12-02,av_new,2020-10-08,1,-31,70.0,1,-55
2020-12-02,av_new,2020-10-14,1,-31,65.0,1,-49
2020-12-02,av_new,2020-10-16,1,-30,80.0,1,-47
2020-12-02,av_new,2020-11-07,1,-25,70.0,1,-25
2020-12-02,av_new,2020-11-12,1,-20,70.0,1,-20
2020-12-02,av_new,2020-11-17,1,-15,75.0,1,-15
2020-12-02,av_new,2020-11-21,1,-11,70.0,3,-11
2020-12-02,av_new,2020-11-23,1,-9,75.33333333333333,3,-9
2020-12-02,av_new,2020-11-24,1,-8,71.66666666666667,3,-8
2020-12-02,av_new,2020-11-25,1,-7,70.0,2,-7
2020-12-02,av_new,2020-11-26,1,-6,75.0,1,-6
2020-12-02,av_new,2020-11-27,1,-5,70.0,1,-5
2020-12-02,av_new,2020-11-28,1,-4,70.0,1,-4
2020-12-02,av_new,2020-11-29,1,-3,70.0,2,-3
2020-12-02,av_new,2020-11-30,1,-2,73.0,5,-2
2020-12-02,av_new,2020-12-01,1,-1,72.5,4,-1
2020-12-02,av_new,2020-12-02,1,0,78.0,1,0
2020-12-03,av_new,2020-10-15,2,-31,70.0,1,-49
2020-12-03,av_new,2020-10-31,2,-28,65.0,1,-33
2020-12-03,av_new,2020-11-05,2,-28,65.0,1,-28
2020-12-03,av_new,2020-11-06,2,-27,65.0,1,-27
2020-12-03,av_new,2020-11-08,2,-25,65.0,1,-25
2020-12-03,av_new,2020-11-16,2,-17,65.0,3,-17
2020-12-03,av_new,2020-11-17,2,-16,70.0,1,-16
2020-12-03,av_new,2020-11-21,2,-12,70.0,1,-12
2020-12-03,av_new,2020-11-22,2,-11,65.0,1,-11
2020-12-03,av_new,2020-11-23,2,-10,65.0,4,-10
2020-12-03,av_new,2020-11-25,2,-8,70.0,1,-8
2020-12-03,av_new,2020-11-26,2,-7,70.0,1,-7
2020-12-03,av_new,2020-11-27,2,-6,73.0,1,-6
2020-12-03,av_new,2020-11-30,2,-3,67.5,2,-3
2020-12-03,av_new,2020-12-01,2,-2,66.66666666666667,3,-2
2020-12-03,av_new,2020-12-02,2,-1,65.0,2,-1
2020-12-03,av_new,2020-12-03,2,0,73.0,1,0
2020-12-04,av_new,2020-10-28,2,-29,65.0,1,-37
2020-12-04,av_new,2020-11-04,2,-28,70.0,1,-30
2020-12-04,av_new,2020-11-06,2,-28,70.0,1,-28
2020-12-04,av_new,2020-11-09,2,-25,65.0,1,-25
2020-12-04,av_new,2020-11-10,2,-24,71.66666666666667,3,-24
2020-12-04,av_new,2020-11-11,2,-23,65.0,1,-23
2020-12-04,av_new,2020-11-12,2,-22,65.0,1,-22
2020-12-04,av_new,2020-11-14,2,-20,65.0,1,-20
2020-12-04,av_new,2020-11-17,2,-17,63.5,2,-17
2020-12-04,av_new,2020-11-18,2,-16,62.0,1,-16
2020-12-04,av_new,2020-11-19,2,-15,65.0,1,-15
2020-12-04,av_new,2020-11-20,2,-14,65.0,1,-14
2020-12-04,av_new,2020-11-22,2,-12,70.0,1,-12
2020-12-04,av_new,2020-11-26,2,-8,72.5,2,-8
2020-12-04,av_new,2020-11-29,2,-5,65.0,2,-5
2020-12-04,av_new,2020-12-01,2,-3,72.5,2,-3
2020-12-04,av_new,2020-12-02,2,-2,67.5,2,-2
2020-12-04,av_new,2020-12-03,2,-1,66.16666666666667,6,-1
2020-12-04,av_new,2020-12-04,2,0,70.0,1,0
2020-12-05,av_new,2020-10-07,2,-32,80.0,1,-59
2020-12-05,av_new,2020-10-13,2,-31,65.0,1,-53
2020-12-05,av_new,2020-11-07,2,-28,65.0,1,-28
2020-12-05,av_new,2020-11-11,2,-24,67.5,2,-24
2020-12-05,av_new,2020-11-17,2,-18,65.0,1,-18
2020-12-05,av_new,2020-11-19,2,-16,65.0,1,-16
2020-12-05,av_new,2020-11-21,2,-14,67.5,2,-14
2020-12-05,av_new,2020-11-23,2,-12,66.66666666666667,3,-12
2020-12-05,av_new,2020-11-26,2,-9,72.5,2,-9
2020-12-05,av_new,2020-11-27,2,-8,70.0,1,-8
2020-12-05,av_new,2020-11-28,2,-7,65.0,1,-7
2020-12-05,av_new,2020-11-29,2,-6,65.0,1,-6
2020-12-05,av_new,2020-11-30,2,-5,71.66666666666667,3,-5
2020-12-05,av_new,2020-12-01,2,-4,70.0,1,-4
2020-12-05,av_new,2020-12-02,2,-3,66.66666666666667,3,-3
2020-12-05,av_new,2020-12-03,2,-2,63.5,2,-2
2020-12-05,av_new,2020-12-04,2,-1,68.25,4,-1
2020-12-05,av_new,2020-12-05,2,0,70.0,1,0
2020-12-06,av_new,2020-09-16,2,-35,65.0,1,-81
2020-12-06,av_new,2020-10-27,2,-29,65.0,1,-40
2020-12-06,av_new,2020-11-02,2,-28,65.0,1,-34
2020-12-06,av_new,2020-11-04,2,-28,65.0,1,-32
2020-12-06,av_new,2020-11-06,2,-28,67.5,2,-30
2020-12-06,av_new,2020-11-07,2,-28,65.0,1,-29
2020-12-06,av_new,2020-11-11,2,-25,65.0,1,-25
2020-12-06,av_new,2020-11-13,2,-23,65.0,1,-23
2020-12-06,av_new,2020-11-16,2,-20,69.0,2,-20
2020-12-06,av_new,2020-11-18,2,-18,70.0,2,-18
2020-12-06,av_new,2020-11-19,2,-17,67.5,2,-17
2020-12-06,av_new,2020-11-21,2,-15,70.0,1,-15
2020-12-06,av_new,2020-11-23,2,-13,66.25,4,-13
2020-12-06,av_new,2020-11-26,2,-10,80.0,1,-10
2020-12-06,av_new,2020-11-27,2,-9,65.0,1,-9
2020-12-06,av_new,2020-11-28,2,-8,65.0,1,-8
2020-12-06,av_new,2020-11-30,2,-6,65.0,2,-6
2020-12-06,av_new,2020-12-01,2,-5,72.5,2,-5
2020-12-06,av_new,2020-12-02,2,-4,65.0,1,-4
2020-12-06,av_new,2020-12-04,2,-2,70.0,1,-2
2020-12-07,av_new,2020-10-14,1,-31,80.0,1,-54
2020-12-07,av_new,2020-10-26,1,-30,75.0,1,-42
2020-12-07,av_new,2020-11-02,1,-29,75.0,1,-35
2020-12-07,av_new,2020-11-14,1,-23,70.0,1,-23
2020-12-07,av_new,2020-11-17,1,-20,80.0,1,-20
2020-12-07,av_new,2020-11-22,1,-15,72.5,2,-15
2020-12-07,av_new,2020-11-24,1,-13,70.0,1,-13
2020-12-07,av_new,2020-11-25,1,-12,68.5,2,-12
2020-12-07,av_new,2020-11-29,1,-8,75.0,1,-8
2020-12-07,av_new,2020-11-30,1,-7,75.0,1,-7
2020-12-07,av_new,2020-12-01,1,-6,74.33333333333333,3,-6
2020-12-07,av_new,2020-12-02,1,-5,75.0,3,-5
2020-12-07,av_new,2020-12-05,1,-2,75.0,1,-2
2020-12-07,av_new,2020-12-06,1,-1,75.0,1,-1
2020-12-07,av_new,2020-12-07,1,0,83.0,1,0
2020-12-08,av_new,2020-11-11,1,-27,70.0,2,-27
