rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-01,k3,2020-11-08,1,-23,72.5,2,-23
2020-12-01,k3,2020-11-09,1,-22,75.0,1,-22
2020-12-01,k3,2020-11-11,1,-20,75.0,1,-20
2020-12-01,k3,2020-11-13,1,-18,75.0,1,-18
2020-12-01,k3,2020-11-16,1,-15,78.0,1,-15
2020-12-01,k3,2020-11-17,1,-14,68.5,2,-14
2020-12-01,k3,2020-11-18,1,-13,71.5,4,-13
2020-12-01,k3,2020-11-19,1,-12,74.0,2,-12
2020-12-01,k3,2020-11-21,1,-10,80.0,1,-10
2020-12-01,k3,2020-11-23,1,-8,70.0,2,-8
2020-12-01,k3,2020-11-24,1,-7,70.0,2,-7
2020-12-01,k3,2020-11-25,1,-6,70.0,1,-6
2020-12-01,k3,2020-11-26,1,-5,73.0,1,-5
2020-12-01,k3,2020-11-27,1,-4,75.0,2,-4
2020-12-01,k3,2020-11-30,1,-1,71.57142857142857,7,-1
2020-12-01,k3,2020-12-01,1,0,74.9,10,0
2020-12-02,k3,2020-10-28,1,-29,75.0,1,-35
2020-12-02,k3,2020-11-10,1,-22,75.0,1,-22
2020-12-02,k3,2020-11-14,1,-18,70.0,1,-18
2020-12-02,k3,2020-11-16,1,-16,65.0,1,-16
2020-12-02,k3,2020-11-20,1,-12,70.0,3,-12
2020-12-02,k3,2020-11-21,1,-11,71.0,3,-11
2020-12-02,k3,2020-11-22,1,-10,71.5,2,-10
2020-12-02,k3,2020-11-24,1,-8,70.0,1,-8
2020-12-02,k3,2020-11-25,1,-7,73.33333333333333,3,-7
2020-12-02,k3,2020-11-26,1,-6,70.0,1,-6
2020-12-02,k3,2020-11-27,1,-5,70.0,2,-5
2020-12-02,k3,2020-11-29,1,-3,75.0,1,-3
2020-12-02,k3,2020-11-30,1,-2,70.75,4,-2
2020-12-02,k3,2020-12-01,1,-1,70.85714285714286,7,-1
2020-12-02,k3,2020-12-02,1,0,70.5,6,0
2020-12-03,k3,2020-11-01,2,-28,65.0,1,-32
2020-12-03,k3,2020-11-05,2,-28,68.0,1,-28
2020-12-03,k3,2020-11-08,2,-25,68.0,1,-25
2020-12-03,k3,2020-11-16,2,-17,65.0,2,-17
2020-12-03,k3,2020-11-18,2,-15,50.0,1,-15
2020-12-03,k3,2020-11-24,2,-9,70.0,1,-9
2020-12-03,k3,2020-11-26,2,-7,65.0,1,-7
2020-12-03,k3,2020-11-29,2,-4,70.0,1,-4
2020-12-03,k3,2020-11-30,2,-3,65.0,1,-3
2020-12-03,k3,2020-12-01,2,-2,67.5,2,-2
2020-12-03,k3,2020-12-02,2,-1,65.0,3,-1
2020-12-03,k3,2020-12-03,2,0,67.71428571428571,7,0
2020-12-04,k3,2020-09-07,2,-36,65.0,1,-88
2020-12-04,k3,2020-09-17,2,-35,65.0,1,-78
2020-12-04,k3,2020-10-21,2,-30,65.0,1,-44
2020-12-04,k3,2020-10-28,2,-29,70.0,1,-37
2020-12-04,k3,2020-11-04,2,-28,65.0,1,-30
2020-12-04,k3,2020-11-10,2,-24,66.66666666666667,3,-24
2020-12-04,k3,2020-11-16,2,-18,73.0,1,-18
2020-12-04,k3,2020-11-17,2,-17,20.0,1,-17
2020-12-04,k3,2020-11-19,2,-15,65.0,1,-15
2020-12-04,k3,2020-11-20,2,-14,65.0,2,-14
2020-12-04,k3,2020-11-24,2,-10,68.0,1,-10
2020-12-04,k3,2020-11-25,2,-9,32.5,2,-9
2020-12-04,k3,2020-11-27,2,-7,67.5,2,-7
2020-12-04,k3,2020-11-28,2,-6,68.0,1,-6
2020-12-04,k3,2020-11-29,2,-5,67.5,2,-5
2020-12-04,k3,2020-11-30,2,-4,65.0,1,-4
2020-12-04,k3,2020-12-02,2,-2,65.0,1,-2
2020-12-04,k3,2020-12-03,2,-1,65.0,2,-1
2020-12-04,k3,2020-12-04,2,0,68.88888888888889,9,0
2020-12-05,k3,2020-10-28,2,-29,73.0,1,-38
2020-12-05,k3,2020-11-04,2,-28,68.0,1,-31
2020-12-05,k3,2020-11-10,2,-25,68.0,1,-25
2020-12-05,k3,2020-11-12,2,-23,80.0,2,-23
2020-12-05,k3,2020-11-14,2,-21,65.0,1,-21
2020-12-05,k3,2020-11-16,2,-19,65.0,1,-19
2020-12-05,k3,2020-11-17,2,-18,68.0,1,-18
2020-12-05,k3,2020-11-18,2,-17,65.0,1,-17
2020-12-05,k3,2020-11-19,2,-16,65.0,3,-16
2020-12-05,k3,2020-11-20,2,-15,65.0,2,-15
2020-12-05,k3,2020-11-21,2,-14,70.0,1,-14
2020-12-05,k3,2020-11-22,2,-13,65.0,1,-13
2020-12-05,k3,2020-11-23,2,-12,67.5,2,-12
2020-12-05,k3,2020-11-24,2,-11,65.0,1,-11
