rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-01,soul,2020-10-26,1,-29,73.0,1,-36
2020-12-01,soul,2020-11-03,1,-28,70.0,1,-28
2020-12-01,soul,2020-11-25,1,-6,70.0,2,-6
2020-12-01,soul,2020-11-27,1,-4,75.0,1,-4
2020-12-01,soul,2020-11-28,1,-3,70.0,2,-3
2020-12-01,soul,2020-11-30,1,-1,72.5,2,-1
2020-12-01,soul,2020-12-01,1,0,78.0,2,0
2020-12-02,soul,2020-11-23,1,-9,70.0,1,-9
2020-12-02,soul,2020-11-28,1,-4,70.0,1,-4
2020-12-02,soul,2020-12-01,1,-1,75.0,1,-1
2020-12-03,soul,2020-09-19,2,-34,65.0,1,-75
2020-12-03,soul,2020-11-10,2,-23,65.0,1,-23
2020-12-03,soul,2020-11-11,2,-22,60.0,1,-22
2020-12-03,soul,2020-11-12,2,-21,65.0,1,-21
2020-12-03,soul,2020-11-16,2,-17,65.0,1,-17
2020-12-03,soul,2020-11-18,2,-15,65.0,1,-15
2020-12-03,soul,2020-11-19,2,-14,65.0,1,-14
2020-12-03,soul,2020-11-21,2,-12,80.0,1,-12
2020-12-03,soul,2020-11-26,2,-7,65.0,1,-7
2020-12-03,soul,2020-12-02,2,-1,67.5,2,-1
2020-12-04,soul,2020-11-06,2,-28,50.0,1,-28
2020-12-04,soul,2020-11-19,2,-15,68.0,1,-15
2020-12-04,soul,2020-11-20,2,-14,60.0,1,-14
2020-12-04,soul,2020-11-25,2,-9,65.0,1,-9
2020-12-04,soul,2020-12-03,2,-1,67.66666666666667,3,-1
2020-12-04,soul,2020-12-04,2,0,65.0,1,0
2020-12-05,soul,2020-11-18,2,-17,70.0,1,-17
2020-12-05,soul,2020-11-19,2,-16,65.0,1,-16
2020-12-05,soul,2020-11-21,2,-14,70.0,1,-14
2020-12-05,soul,2020-11-25,2,-10,80.0,1,-10
2020-12-05,soul,2020-12-01,2,-4,70.0,1,-4
2020-12-05,soul,2020-12-02,2,-3,60.0,1,-3
2020-12-05,soul,2020-12-03,2,-2,68.0,1,-2
2020-12-05,soul,2020-12-04,2,-1,70.0,1,-1
2020-12-05,soul,2020-12-05,2,0,62.5,2,0
2020-12-06,soul,2020-11-02,2,-28,65.0,1,-34
2020-12-06,soul,2020-11-09,2,-27,65.0,1,-27
2020-12-06,soul,2020-11-22,2,-14,70.0,1,-14
2020-12-06,soul,2020-12-01,2,-5,68.0,1,-5
2020-12-06,soul,2020-12-04,2,-2,65.0,1,-2
2020-12-06,soul,2020-12-05,2,-1,65.0,1,-1
2020-12-06,soul,2020-12-06,2,0,70.0,1,0
2020-12-07,soul,2020-09-08,1,-36,72.0,1,-90
2020-12-07,soul,2020-10-15,1,-31,68.0,1,-53
2020-12-07,soul,2020-11-17,1,-20,70.0,1,-20
2020-12-07,soul,2020-11-20,1,-17,75.0,1,-17
2020-12-07,soul,2020-12-02,1,-5,70.0,1,-5
2020-12-07,soul,2020-12-04,1,-3,71.5,2,-3
2020-12-07,soul,2020-12-07,1,0,75.0,1,0
2020-12-08,soul,2020-11-07,1,-28,70.0,1,-31
2020-12-08,soul,2020-11-20,1,-18,75.0,1,-18
2020-12-08,soul,2020-11-21,1,-17,75.0,1,-17
2020-12-08,soul,2020-12-02,1,-6,73.0,1,-6
2020-12-09,soul,2020-10-17,1,-31,70.0,1,-53
2020-12-09,soul,2020-10-31,1,-29,70.0,1,-39
2020-12-09,soul,2020-11-05,1,-28,73.0,1,-34
2020-12-09,soul,2020-11-14,1,-25,70.0,1,-25
2020-12-09,soul,2020-12-01,1,-8,75.0,1,-8
2020-12-09,soul,2020-12-05,1,-4,80.0,1,-4
2020-12-09,soul,2020-12-07,1,-2,75.0,1,-2
2020-12-09,soul,2020-12-08,1,-1,76.5,2,-1
2020-12-10,soul,2020-11-06,2,-28,50.0,1,-34
2020-12-10,soul,2020-11-19,2,-21,65.0,1,-21
2020-12-10,soul,2020-12-07,2,-3,68.0,1,-3
2020-12-11,soul,2020-11-10,2,-28,68.0,1,-31
2020-12-11,soul,2020-11-21,2,-20,65.0,2,-20
2020-12-11,soul,2020-11-24,2,-17,68.0,1,-17
2020-12-11,soul,2020-12-08,2,-3,70.0,1,-3
2020-12-11,soul,2020-12-09,2,-2,70.0,1,-2
2020-12-11,soul,2020-12-10,2,-1,62.5,2,-1
2020-12-11,soul,2020-12-11,2,0,65.0,1,0
2020-12-12,soul,2020-11-01,2,-29,80.0,1,-41
2020-12-12,soul,2020-11-06,2,-29,65.0,1,-36
2020-12-12,soul,2020-11-17,2,-25,67.5,2,-25
2020-12-12,soul,2020-11-18,2,-24,65.0,1,-24
2020-12-12,soul,2020-12-05,2,-7,65.0,1,-7
2020-12-12,soul,2020-12-08,2,-4,65.0,1,-4
2020-12-12,soul,2020-12-11,2,-1,65.0,1,-1
2020-12-13,soul,2020-11-17,2,-26,60.0,1,-26
2020-12-13,soul,2020-11-30,2,-13,65.0,1,-13
2020-12-13,soul,2020-12-03,2,-10,70.0,1,-10
2020-12-13,soul,2020-12-08,2,-5,65.0,1,-5
2020-12-13,soul,2020-12-09,2,-4,72.5,2,-4
2020-12-13,soul,2020-12-10,2,-3,65.0,1,-3
2020-12-14,soul,2020-11-16,1,-28,73.0,1,-28
2020-12-14,soul,2020-11-18,1,-26,70.0,1,-26
2020-12-14,soul,2020-11-20,1,-24,70.0,1,-24
2020-12-14,soul,2020-12-07,1,-7,75.0,1,-7
2020-12-14,soul,2020-12-11,1,-3,75.0,1,-3
2020-12-14,soul,2020-12-13,1,-1,79.0,2,-1
2020-12-15,soul,2020-11-12,1,-28,75.0,1,-33
2020-12-15,soul,2020-11-20,1,-25,70.0,1,-25
2020-12-15,soul,2020-12-04,1,-11,75.0,1,-11
