rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-01,vlst,2020-11-01,1,-28,70.0,1,-30
2020-12-01,vlst,2020-11-10,1,-21,70.0,1,-21
2020-12-01,vlst,2020-11-16,1,-15,50.0,1,-15
2020-12-01,vlst,2020-11-17,1,-14,75.0,2,-14
2020-12-01,vlst,2020-11-18,1,-13,70.0,1,-13
2020-12-01,vlst,2020-11-19,1,-12,75.0,1,-12
2020-12-01,vlst,2020-11-25,1,-6,73.0,1,-6
2020-12-01,vlst,2020-11-26,1,-5,75.0,1,-5
2020-12-01,vlst,2020-11-27,1,-4,75.0,1,-4
2020-12-01,vlst,2020-11-30,1,-1,70.0,1,-1
2020-12-01,vlst,2020-12-01,1,0,73.0,1,0
2020-12-02,vlst,2020-10-25,1,-29,70.0,1,-38
2020-12-02,vlst,2020-11-09,1,-23,73.0,1,-23
2020-12-02,vlst,2020-11-11,1,-21,70.0,1,-21
2020-12-02,vlst,2020-11-18,1,-14,70.0,1,-14
2020-12-02,vlst,2020-11-27,1,-5,70.0,1,-5
2020-12-02,vlst,2020-11-30,1,-2,70.0,1,-2
2020-12-02,vlst,2020-12-01,1,-1,70.0,1,-1
2020-12-03,vlst,2020-11-03,2,-28,65.0,1,-30
2020-12-03,vlst,2020-11-10,2,-23,65.0,1,-23
2020-12-03,vlst,2020-11-13,2,-20,70.0,1,-20
2020-12-03,vlst,2020-11-14,2,-19,65.0,1,-19
2020-12-03,vlst,2020-11-25,2,-8,68.0,1,-8
2020-12-03,vlst,2020-11-26,2,-7,65.0,1,-7
2020-12-03,vlst,2020-11-27,2,-6,65.0,2,-6
2020-12-03,vlst,2020-11-29,2,-4,65.0,1,-4
2020-12-03,vlst,2020-12-03,2,0,70.0,1,0
2020-12-04,vlst,2020-10-23,2,-30,50.0,1,-42
2020-12-04,vlst,2020-11-14,2,-20,65.0,1,-20
2020-12-04,vlst,2020-11-18,2,-16,65.0,2,-16
2020-12-04,vlst,2020-11-27,2,-7,70.0,1,-7
2020-12-05,vlst,2020-09-20,2,-34,65.0,1,-76
2020-12-05,vlst,2020-10-21,2,-30,65.0,1,-45
2020-12-05,vlst,2020-10-22,2,-30,65.0,1,-44
2020-12-05,vlst,2020-11-09,2,-26,80.0,1,-26
2020-12-05,vlst,2020-11-11,2,-24,65.0,1,-24
2020-12-05,vlst,2020-11-17,2,-18,68.0,2,-18
2020-12-05,vlst,2020-11-18,2,-17,68.0,1,-17
2020-12-05,vlst,2020-11-25,2,-10,65.0,1,-10
2020-12-05,vlst,2020-11-27,2,-8,70.0,1,-8
2020-12-06,vlst,2020-10-05,2,-32,65.0,1,-62
2020-12-06,vlst,2020-11-06,2,-28,65.0,1,-30
2020-12-06,vlst,2020-11-16,2,-20,65.0,1,-20
2020-12-06,vlst,2020-11-18,2,-18,65.0,1,-18
2020-12-06,vlst,2020-11-27,2,-9,65.0,1,-9
2020-12-06,vlst,2020-11-28,2,-8,65.0,2,-8
2020-12-06,vlst,2020-11-30,2,-6,70.0,1,-6
2020-12-07,vlst,2020-10-03,1,-33,65.0,1,-65
2020-12-07,vlst,2020-10-30,1,-29,70.0,1,-38
2020-12-07,vlst,2020-11-08,1,-28,70.0,1,-29
2020-12-07,vlst,2020-11-13,1,-24,70.0,1,-24
2020-12-07,vlst,2020-11-17,1,-20,70.0,1,-20
2020-12-07,vlst,2020-12-01,1,-6,80.0,1,-6
2020-12-07,vlst,2020-12-04,1,-3,83.0,1,-3
2020-12-07,vlst,2020-12-06,1,-1,75.0,1,-1
2020-12-07,vlst,2020-12-07,1,0,76.5,2,0
2020-12-08,vlst,2020-12-03,1,-5,70.0,1,-5
2020-12-08,vlst,2020-12-04,1,-4,70.0,1,-4
2020-12-08,vlst,2020-12-05,1,-3,79.0,2,-3
2020-12-08,vlst,2020-12-07,1,-1,78.0,1,-1
2020-12-09,vlst,2020-10-10,1,-32,65.0,1,-60
2020-12-09,vlst,2020-11-18,1,-21,70.0,1,-21
2020-12-09,vlst,2020-11-21,1,-18,70.0,1,-18
2020-12-09,vlst,2020-11-23,1,-16,70.0,1,-16
2020-12-09,vlst,2020-12-04,1,-5,73.0,1,-5
2020-12-09,vlst,2020-12-06,1,-3,75.0,1,-3
2020-12-09,vlst,2020-12-07,1,-2,76.0,3,-2
