rent_day,res_model,res_day,util_cum,disc_mean,seasonality,lead_time_vec,util_rate_cum,lead_time
2020-12-01,av_ad,2020-10-28,1.0,70.0,1,-28,0.015625,-34
2020-12-01,av_ad,2020-10-31,2.0,70.0,1,-28,0.03125,-31
2020-12-01,av_ad,2020-11-01,4.0,70.0,1,-28,0.0625,-30
2020-12-01,av_ad,2020-11-05,5.0,70.0,1,-26,0.078125,-26
2020-12-01,av_ad,2020-11-06,6.0,70.0,1,-25,0.09375,-25
2020-12-01,av_ad,2020-11-07,7.0,70.71428571428571,1,-24,0.109375,-24
2020-12-01,av_ad,2020-11-09,9.0,71.66666666666667,1,-22,0.140625,-22
2020-12-01,av_ad,2020-11-14,9.583333333333334,71.5,1,-17,0.14973958333333334,-17
2020-12-01,av_ad,2020-11-16,12.583333333333334,72.3076923076923,1,-15,0.19661458333333334,-15
2020-12-01,av_ad,2020-11-17,13.583333333333334,71.78571428571429,1,-14,0.21223958333333334,-14
2020-12-01,av_ad,2020-11-19,14.583333333333334,71.86666666666666,1,-12,0.22786458333333334,-12
2020-12-01,av_ad,2020-11-25,16.583333333333336,71.94117647058823,1,-6,0.25911458333333337,-6
2020-12-01,av_ad,2020-11-27,18.583333333333336,71.73684210526316,1,-4,0.29036458333333337,-4
2020-12-01,av_ad,2020-11-28,20.583333333333336,71.57142857142857,1,-3,0.32161458333333337,-3
2020-12-01,av_ad,2020-11-30,23.416666666666668,71.70833333333333,1,-1,0.3658854166666667,-1
2020-12-01,av_ad,2020-12-01,24.416666666666668,71.64,1,0,0.3815104166666667,0
2020-12-02,av_ad,2020-10-28,1.0,70.0,1,-29,0.015625,-35
2020-12-02,av_ad,2020-10-31,2.0,70.0,1,-28,0.03125,-32
2020-12-02,av_ad,2020-11-01,4.0,70.0,1,-28,0.0625,-31
2020-12-02,av_ad,2020-11-05,5.0,70.0,1,-27,0.078125,-27
2020-12-02,av_ad,2020-11-06,7.0,70.71428571428571,1,-26,0.109375,-26
2020-12-02,av_ad,2020-11-07,8.0,71.25,1,-25,0.125,-25
2020-12-02,av_ad,2020-11-09,11.0,72.27272727272727,1,-23,0.171875,-23
2020-12-02,av_ad,2020-11-12,12.0,67.08333333333333,1,-20,0.1875,-20
