rent_day,res_model,res_day,util_cum,disc_mean,seasonality,lead_time_vec,util_rate_cum,lead_time
2020-12-01,soul,2020-10-26,1.0,73.0,1,-29,0.03571428571428571,-36
2020-12-01,soul,2020-11-03,2.0,71.5,1,-28,0.07142857142857142,-28
2020-12-01,soul,2020-11-25,4.0,70.75,1,-6,0.14285714285714285,-6
2020-12-01,soul,2020-11-27,5.0,71.6,1,-4,0.17857142857142858,-4
2020-12-01,soul,2020-11-28,7.0,71.14285714285714,1,-3,0.25,-3
2020-12-01,soul,2020-11-30,9.0,71.44444444444444,1,-1,0.32142857142857145,-1
2020-12-01,soul,2020-12-01,11.0,72.63636363636364,1,0,0.39285714285714285,0
2020-12-02,soul,2020-10-26,1.0,73.0,1,-29,0.03571428571428571,-37
2020-12-02,soul,2020-11-03,2.0,71.5,1,-28,0.07142857142857142,-29
2020-12-02,soul,2020-11-23,3.0,71.0,1,-9,0.10714285714285714,-9
2020-12-02,soul,2020-11-25,5.0,70.6,1,-7,0.17857142857142858,-7
2020-12-02,soul,2020-11-27,6.0,71.33333333333333,1,-5,0.21428571428571427,-5
2020-12-02,soul,2020-11-28,9.0,70.88888888888889,1,-4,0.32142857142857145,-4
2020-12-02,soul,2020-11-30,11.0,71.18181818181819,1,-2,0.39285714285714285,-2
2020-12-02,soul,2020-12-01,13.0,72.0,1,-1,0.4642857142857143,-1
2020-12-03,soul,2020-09-19,1.0,65.0,2,-34,0.03571428571428571,-75
2020-12-03,soul,2020-10-26,2.0,69.0,2,-29,0.07142857142857142,-38
2020-12-03,soul,2020-11-03,3.0,69.33333333333333,2,-28,0.10714285714285714,-30
2020-12-03,soul,2020-11-10,4.0,68.25,2,-23,0.14285714285714285,-23
2020-12-03,soul,2020-11-11,5.0,66.6,2,-22,0.17857142857142858,-22
2020-12-03,soul,2020-11-12,6.0,66.33333333333333,2,-21,0.21428571428571427,-21
2020-12-03,soul,2020-11-16,7.0,66.14285714285714,2,-17,0.25,-17
2020-12-03,soul,2020-11-18,8.0,66.0,2,-15,0.2857142857142857,-15
2020-12-03,soul,2020-11-19,9.0,65.88888888888889,2,-14,0.32142857142857145,-14
2020-12-03,soul,2020-11-21,9.916666666666666,67.3,2,-12,0.35416666666666663,-12
2020-12-03,soul,2020-11-23,10.916666666666666,67.54545454545455,2,-10,0.3898809523809524,-10
2020-12-03,soul,2020-11-25,12.916666666666666,67.92307692307692,2,-8,0.4613095238095238,-8
2020-12-03,soul,2020-11-26,13.75,67.71428571428571,2,-7,0.49107142857142855,-7
2020-12-03,soul,2020-11-27,14.75,68.2,2,-6,0.5267857142857143,-6
2020-12-03,soul,2020-11-28,17.75,68.5,2,-5,0.6339285714285714,-5
2020-12-03,soul,2020-11-30,19.75,68.9,2,-3,0.7053571428571429,-3
2020-12-03,soul,2020-12-01,21.75,69.5909090909091,2,-2,0.7767857142857143,-2
2020-12-03,soul,2020-12-02,23.75,69.41666666666667,2,-1,0.8482142857142857,-1
2020-12-04,soul,2020-09-19,1.0,65.0,2,-34,0.03571428571428571,-76
2020-12-04,soul,2020-10-26,2.0,69.0,2,-29,0.07142857142857142,-39
2020-12-04,soul,2020-11-03,3.0,69.33333333333333,2,-28,0.10714285714285714,-31
2020-12-04,soul,2020-11-06,4.0,64.5,2,-28,0.14285714285714285,-28
2020-12-04,soul,2020-11-10,5.0,64.6,2,-24,0.17857142857142858,-24
2020-12-04,soul,2020-11-11,6.0,63.833333333333336,2,-23,0.21428571428571427,-23
2020-12-04,soul,2020-11-12,7.0,64.0,2,-22,0.25,-22
2020-12-04,soul,2020-11-16,8.0,64.125,2,-18,0.2857142857142857,-18
2020-12-04,soul,2020-11-18,9.0,64.22222222222223,2,-16,0.32142857142857145,-16
2020-12-04,soul,2020-11-19,10.5,64.63636363636364,2,-15,0.375,-15
2020-12-04,soul,2020-11-20,11.5,64.25,2,-14,0.4107142857142857,-14
2020-12-04,soul,2020-11-21,12.5,65.46153846153847,2,-13,0.44642857142857145,-13
2020-12-04,soul,2020-11-23,13.5,65.78571428571429,2,-11,0.48214285714285715,-11
2020-12-04,soul,2020-11-25,15.5,66.0,2,-9,0.5535714285714286,-9
2020-12-04,soul,2020-11-26,16.5,65.94117647058823,2,-8,0.5892857142857143,-8
2020-12-04,soul,2020-11-27,17.5,66.44444444444444,2,-7,0.625,-7
2020-12-04,soul,2020-11-28,18.5,66.63157894736842,2,-6,0.6607142857142857,-6
2020-12-04,soul,2020-11-30,19.5,67.05,2,-4,0.6964285714285714,-4
2020-12-04,soul,2020-12-01,21.5,67.9090909090909,2,-3,0.7678571428571429,-3
2020-12-04,soul,2020-12-02,23.5,67.875,2,-2,0.8392857142857143,-2
2020-12-04,soul,2020-12-03,26.5,67.85185185185185,2,-1,0.9464285714285714,-1
2020-12-04,soul,2020-12-04,27.5,67.75,2,0,0.9821428571428571,0
2020-12-05,soul,2020-09-19,1.0,65.0,2,-35,0.03571428571428571,-77
2020-12-05,soul,2020-11-06,2.0,57.5,2,-28,0.07142857142857142,-29
2020-12-05,soul,2020-11-10,3.0,60.0,2,-25,0.10714285714285714,-25
2020-12-05,soul,2020-11-12,4.0,61.25,2,-23,0.14285714285714285,-23
2020-12-05,soul,2020-11-16,5.0,62.0,2,-19,0.17857142857142858,-19
2020-12-05,soul,2020-11-18,6.555555555555555,63.57142857142857,2,-17,0.23412698412698413,-17
2020-12-05,soul,2020-11-19,9.555555555555555,64.3,2,-16,0.3412698412698413,-16
2020-12-05,soul,2020-11-20,10.555555555555555,63.90909090909091,2,-15,0.376984126984127,-15
2020-12-05,soul,2020-11-21,12.555555555555555,65.61538461538461,2,-14,0.44841269841269843,-14
2020-12-05,soul,2020-11-25,14.555555555555555,66.53333333333333,2,-10,0.5198412698412699,-10
2020-12-05,soul,2020-11-26,15.555555555555555,66.4375,2,-9,0.5555555555555556,-9
2020-12-05,soul,2020-12-01,17.555555555555557,67.11111111111111,2,-4,0.6269841269841271,-4
2020-12-05,soul,2020-12-02,19.555555555555557,66.65,2,-3,0.6984126984126985,-3
2020-12-05,soul,2020-12-03,23.555555555555557,66.83333333333333,2,-2,0.8412698412698413,-2
2020-12-05,soul,2020-12-04,25.555555555555557,66.88461538461539,2,-1,0.9126984126984128,-1
2020-12-05,soul,2020-12-05,27.13888888888889,66.57142857142857,2,0,0.9692460317460317,0
2020-12-06,soul,2020-11-02,0.75,65.0,2,-28,0.02586206896551724,-34
2020-12-06,soul,2020-11-06,1.75,57.5,2,-28,0.0603448275862069,-30
2020-12-06,soul,2020-11-09,2.75,60.0,2,-27,0.09482758620689655,-27
2020-12-06,soul,2020-11-12,3.75,61.25,2,-24,0.12931034482758622,-24
2020-12-06,soul,2020-11-18,4.75,63.0,2,-18,0.16379310344827586,-18
2020-12-06,soul,2020-11-19,7.75,64.125,2,-17,0.2672413793103448,-17
2020-12-06,soul,2020-11-20,8.75,63.666666666666664,2,-16,0.3017241379310345,-16
2020-12-06,soul,2020-11-21,10.75,65.72727272727273,2,-15,0.3706896551724138,-15
2020-12-06,soul,2020-11-22,11.75,66.08333333333333,2,-14,0.4051724137931034,-14
