rent_day,res_model,res_day,util_cum,disc_mean,seasonality,lead_time_vec,util_rate_cum,lead_time
2020-12-01,vlst,2020-11-01,1.0,70.0,1,-28,0.034482758620689655,-30
2020-12-01,vlst,2020-11-10,2.0,70.0,1,-21,0.06896551724137931,-21
2020-12-01,vlst,2020-11-16,3.0,63.333333333333336,1,-15,0.10344827586206896,-15
2020-12-01,vlst,2020-11-17,5.0,68.0,1,-14,0.1724137931034483,-14
2020-12-01,vlst,2020-11-18,5.5,68.33333333333333,1,-13,0.1896551724137931,-13
2020-12-01,vlst,2020-11-19,6.5,69.28571428571429,1,-12,0.22413793103448276,-12
2020-12-01,vlst,2020-11-25,7.5,69.75,1,-6,0.25862068965517243,-6
2020-12-01,vlst,2020-11-26,8.5,70.33333333333333,1,-5,0.29310344827586204,-5
2020-12-01,vlst,2020-11-27,9.5,70.8,1,-4,0.3275862068965517,-4
2020-12-01,vlst,2020-11-30,10.5,70.72727272727273,1,-1,0.3620689655172414,-1
2020-12-01,vlst,2020-12-01,11.5,70.91666666666667,1,0,0.39655172413793105,0
2020-12-02,vlst,2020-10-25,0.8333333333333334,70.0,1,-29,0.028735632183908046,-38
2020-12-02,vlst,2020-11-01,1.8333333333333335,70.0,1,-28,0.06321839080459771,-31
2020-12-02,vlst,2020-11-09,2.416666666666667,71.0,1,-23,0.08333333333333334,-23
2020-12-02,vlst,2020-11-10,3.416666666666667,70.75,1,-22,0.117816091954023,-22
2020-12-02,vlst,2020-11-11,4.416666666666667,70.6,1,-21,0.15229885057471265,-21
2020-12-02,vlst,2020-11-16,5.416666666666667,67.16666666666667,1,-16,0.18678160919540232,-16
2020-12-02,vlst,2020-11-17,7.416666666666667,69.125,1,-15,0.2557471264367816,-15
2020-12-02,vlst,2020-11-18,9.416666666666668,69.3,1,-14,0.32471264367816094,-14
2020-12-02,vlst,2020-11-19,10.416666666666668,69.81818181818181,1,-13,0.3591954022988506,-13
2020-12-02,vlst,2020-11-25,11.416666666666668,70.08333333333333,1,-7,0.3936781609195403,-7
2020-12-02,vlst,2020-11-26,12.416666666666668,70.46153846153847,1,-6,0.42816091954022995,-6
2020-12-02,vlst,2020-11-27,14.166666666666668,70.73333333333333,1,-5,0.4885057471264368,-5
2020-12-02,vlst,2020-11-30,16.166666666666668,70.6470588235294,1,-2,0.5574712643678161,-2
2020-12-02,vlst,2020-12-01,17.166666666666668,70.61111111111111,1,-1,0.5919540229885057,-1
2020-12-03,vlst,2020-10-25,1.0,70.0,2,-29,0.034482758620689655,-39
2020-12-03,vlst,2020-11-01,2.0,70.0,2,-28,0.06896551724137931,-32
2020-12-03,vlst,2020-11-03,2.8333333333333335,68.33333333333333,2,-28,0.09770114942528736,-30
2020-12-03,vlst,2020-11-09,3.8333333333333335,69.5,2,-24,0.13218390804597702,-24
2020-12-03,vlst,2020-11-10,5.166666666666667,68.83333333333333,2,-23,0.1781609195402299,-23
2020-12-03,vlst,2020-11-11,6.166666666666667,69.0,2,-22,0.21264367816091956,-22
2020-12-03,vlst,2020-11-13,6.5,69.125,2,-20,0.22413793103448276,-20
2020-12-03,vlst,2020-11-14,7.5,68.66666666666667,2,-19,0.25862068965517243,-19
2020-12-03,vlst,2020-11-16,8.5,66.8,2,-17,0.29310344827586204,-17
2020-12-03,vlst,2020-11-17,10.5,68.16666666666667,2,-16,0.3620689655172414,-16
2020-12-03,vlst,2020-11-18,12.5,68.42857142857143,2,-15,0.43103448275862066,-15
2020-12-03,vlst,2020-11-25,14.5,68.6875,2,-8,0.5,-8
2020-12-03,vlst,2020-11-26,16.5,68.83333333333333,2,-7,0.5689655172413793,-7
2020-12-03,vlst,2020-11-27,20.25,68.81818181818181,2,-6,0.6982758620689655,-6
2020-12-03,vlst,2020-11-29,21.25,68.65217391304348,2,-4,0.7327586206896551,-4
2020-12-03,vlst,2020-11-30,23.25,68.76,2,-3,0.8017241379310345,-3
2020-12-03,vlst,2020-12-01,24.25,68.8076923076923,2,-2,0.8362068965517241,-2
2020-12-03,vlst,2020-12-03,25.25,68.85185185185185,2,0,0.8706896551724138,0
2020-12-04,vlst,2020-10-23,1.0,50.0,2,-30,0.034482758620689655,-42
2020-12-04,vlst,2020-10-25,2.0,60.0,2,-29,0.06896551724137931,-40
2020-12-04,vlst,2020-11-01,3.0,63.333333333333336,2,-28,0.10344827586206896,-33
2020-12-04,vlst,2020-11-03,4.0,63.75,2,-28,0.13793103448275862,-31
2020-12-04,vlst,2020-11-09,5.0,65.6,2,-25,0.1724137931034483,-25
2020-12-04,vlst,2020-11-10,7.0,66.14285714285714,2,-24,0.2413793103448276,-24
2020-12-04,vlst,2020-11-11,8.0,66.625,2,-23,0.27586206896551724,-23
2020-12-04,vlst,2020-11-13,9.0,67.0,2,-21,0.3103448275862069,-21
2020-12-04,vlst,2020-11-14,10.916666666666666,66.63636363636364,2,-20,0.37643678160919536,-20
2020-12-04,vlst,2020-11-16,11.916666666666666,65.25,2,-18,0.410919540229885,-18
2020-12-04,vlst,2020-11-17,13.916666666666666,66.64285714285714,2,-17,0.47988505747126436,-17
2020-12-04,vlst,2020-11-18,16.38888888888889,66.6470588235294,2,-16,0.5651340996168582,-16
2020-12-04,vlst,2020-11-25,17.38888888888889,67.0,2,-9,0.599616858237548,-9
2020-12-04,vlst,2020-11-26,18.38888888888889,66.89473684210526,2,-8,0.6340996168582376,-8
2020-12-04,vlst,2020-11-27,22.055555555555557,67.0,2,-7,0.760536398467433,-7
2020-12-04,vlst,2020-11-29,23.055555555555557,66.91666666666667,2,-5,0.7950191570881227,-5
2020-12-04,vlst,2020-11-30,24.055555555555557,67.04,2,-4,0.8295019157088123,-4
2020-12-04,vlst,2020-12-01,25.055555555555557,67.15384615384616,2,-3,0.863984674329502,-3
2020-12-04,vlst,2020-12-03,26.055555555555557,67.25925925925925,2,-1,0.8984674329501916,-1
2020-12-05,vlst,2020-09-20,1.0,65.0,2,-34,0.034482758620689655,-76
2020-12-05,vlst,2020-10-21,2.0,65.0,2,-30,0.06896551724137931,-45
2020-12-05,vlst,2020-10-22,2.5,65.0,2,-30,0.08620689655172414,-44
2020-12-05,vlst,2020-10-23,3.5,61.25,2,-30,0.1206896551724138,-43
2020-12-05,vlst,2020-10-25,4.5,63.0,2,-29,0.15517241379310345,-41
2020-12-05,vlst,2020-11-03,5.5,63.333333333333336,2,-28,0.1896551724137931,-32
2020-12-05,vlst,2020-11-09,7.5,66.625,2,-26,0.25862068965517243,-26
2020-12-05,vlst,2020-11-10,9.5,66.8,2,-25,0.3275862068965517,-25
2020-12-05,vlst,2020-11-11,11.166666666666666,66.91666666666667,2,-24,0.3850574712643678,-24
2020-12-05,vlst,2020-11-13,12.166666666666666,67.15384615384616,2,-22,0.41954022988505746,-22
2020-12-05,vlst,2020-11-14,14.166666666666666,66.86666666666666,2,-21,0.48850574712643674,-21
2020-12-05,vlst,2020-11-17,15.666666666666666,67.0,2,-18,0.5402298850574713,-18
2020-12-05,vlst,2020-11-18,18.666666666666664,66.85,2,-17,0.6436781609195401,-17
2020-12-05,vlst,2020-11-25,19.666666666666664,66.76190476190476,2,-10,0.6781609195402298,-10
2020-12-05,vlst,2020-11-26,20.666666666666664,66.68181818181819,2,-9,0.7126436781609194,-9
2020-12-05,vlst,2020-11-27,25.666666666666664,66.92592592592592,2,-8,0.8850574712643677,-8
2020-12-05,vlst,2020-11-29,26.666666666666664,66.85714285714286,2,-6,0.9195402298850573,-6
2020-12-05,vlst,2020-11-30,27.666666666666664,66.96551724137932,2,-5,0.9540229885057471,-5
2020-12-06,vlst,2020-09-20,1.0,65.0,2,-35,0.034482758620689655,-77
2020-12-06,vlst,2020-10-05,2.0,65.0,2,-32,0.06896551724137931,-62
2020-12-06,vlst,2020-10-21,3.0,65.0,2,-30,0.10344827586206896,-46
2020-12-06,vlst,2020-10-22,4.0,65.0,2,-30,0.13793103448275862,-45
2020-12-06,vlst,2020-10-23,5.0,62.0,2,-30,0.1724137931034483,-44
2020-12-06,vlst,2020-11-03,6.0,62.5,2,-28,0.20689655172413793,-33
2020-12-06,vlst,2020-11-06,7.0,62.857142857142854,2,-28,0.2413793103448276,-30
2020-12-06,vlst,2020-11-09,8.0,65.0,2,-27,0.27586206896551724,-27
2020-12-06,vlst,2020-11-10,9.0,65.55555555555556,2,-26,0.3103448275862069,-26
2020-12-06,vlst,2020-11-11,10.0,65.5,2,-25,0.3448275862068966,-25
2020-12-06,vlst,2020-11-13,11.0,65.9090909090909,2,-23,0.3793103448275862,-23
2020-12-06,vlst,2020-11-14,12.0,65.83333333333333,2,-22,0.41379310344827586,-22
2020-12-06,vlst,2020-11-16,13.0,65.76923076923077,2,-20,0.4482758620689655,-20
2020-12-06,vlst,2020-11-17,15.0,66.06666666666666,2,-19,0.5172413793103449,-19
2020-12-06,vlst,2020-11-18,19.0,66.0,2,-18,0.6551724137931034,-18
2020-12-06,vlst,2020-11-25,20.0,65.95,2,-11,0.6896551724137931,-11
2020-12-06,vlst,2020-11-26,21.0,65.9047619047619,2,-10,0.7241379310344828,-10
2020-12-06,vlst,2020-11-27,25.0,66.16,2,-9,0.8620689655172413,-9
2020-12-06,vlst,2020-11-28,27.0,66.07407407407408,2,-8,0.9310344827586207,-8
2020-12-06,vlst,2020-11-29,28.0,66.03571428571429,2,-7,0.9655172413793104,-7
2020-12-06,vlst,2020-11-30,30.0,66.3,2,-6,1.0344827586206897,-6
2020-12-07,vlst,2020-09-20,1.0,65.0,1,-35,0.034482758620689655,-78
