rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-01,av_ad,2020-10-28,70.0,1.0,1,-28,0.015625,-34
2020-12-01,av_ad,2020-10-31,70.0,1.0,1,-28,0.015625,-31
2020-12-01,av_ad,2020-11-01,70.0,2.0,1,-28,0.03125,-30
2020-12-01,av_ad,2020-11-05,70.0,1.0,1,-26,0.015625,-26
2020-12-01,av_ad,2020-11-06,70.0,1.0,1,-25,0.015625,-25
2020-12-01,av_ad,2020-11-07,75.0,1.0,1,-24,0.015625,-24
2020-12-01,av_ad,2020-11-09,75.0,2.0,1,-22,0.03125,-22
2020-12-01,av_ad,2020-11-14,70.0,0.5833333333333334,1,-17,0.009114583333333334,-17
2020-12-01,av_ad,2020-11-16,75.0,3.0,1,-15,0.046875,-15
2020-12-01,av_ad,2020-11-17,65.0,1.0,1,-14,0.015625,-14
2020-12-01,av_ad,2020-11-19,73.0,1.0,1,-12,0.015625,-12
2020-12-01,av_ad,2020-11-25,72.5,2.0,1,-6,0.03125,-6
2020-12-01,av_ad,2020-11-27,70.0,2.0,1,-4,0.03125,-4
2020-12-01,av_ad,2020-11-28,70.0,2.0,1,-3,0.03125,-3
2020-12-01,av_ad,2020-11-30,72.66666666666667,2.8333333333333335,1,-1,0.044270833333333336,-1
2020-12-01,av_ad,2020-12-01,70.0,1.0,1,0,0.015625,0
2020-12-02,av_ad,2020-10-28,70.0,1.0,1,-29,0.015625,-35
2020-12-02,av_ad,2020-10-31,70.0,1.0,1,-28,0.015625,-32
2020-12-02,av_ad,2020-11-01,70.0,2.0,1,-28,0.03125,-31
2020-12-02,av_ad,2020-11-05,70.0,1.0,1,-27,0.015625,-27
2020-12-02,av_ad,2020-11-06,72.5,2.0,1,-26,0.03125,-26
2020-12-02,av_ad,2020-11-07,75.0,1.0,1,-25,0.015625,-25
2020-12-02,av_ad,2020-11-09,75.0,3.0,1,-23,0.046875,-23
2020-12-02,av_ad,2020-11-12,10.0,1.0,1,-20,0.015625,-20
2020-12-02,av_ad,2020-11-13,78.0,1.0,1,-19,0.015625,-19
2020-12-02,av_ad,2020-11-14,77.5,1.4722222222222223,1,-18,0.023003472222222224,-18
2020-12-02,av_ad,2020-11-16,75.0,3.0,1,-16,0.046875,-16
2020-12-02,av_ad,2020-11-17,68.33333333333333,3.0,1,-15,0.046875,-15
2020-12-02,av_ad,2020-11-18,74.0,1.3333333333333333,1,-14,0.020833333333333332,-14
2020-12-02,av_ad,2020-11-19,73.0,1.0,1,-13,0.015625,-13
2020-12-02,av_ad,2020-11-20,75.0,1.0,1,-12,0.015625,-12
2020-12-02,av_ad,2020-11-21,70.0,0.8333333333333334,1,-11,0.013020833333333334,-11
2020-12-02,av_ad,2020-11-25,70.0,1.0,1,-7,0.015625,-7
2020-12-02,av_ad,2020-11-27,70.0,2.0,1,-5,0.03125,-5
2020-12-02,av_ad,2020-11-28,70.0,2.0,1,-4,0.03125,-4
2020-12-02,av_ad,2020-11-29,70.0,1.0,1,-3,0.015625,-3
