rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-01,soul,2020-10-26,73.0,1.0,1,-29,0.03571428571428571,-36
2020-12-01,soul,2020-11-03,70.0,1.0,1,-28,0.03571428571428571,-28
2020-12-01,soul,2020-11-25,70.0,2.0,1,-6,0.07142857142857142,-6
2020-12-01,soul,2020-11-27,75.0,1.0,1,-4,0.03571428571428571,-4
2020-12-01,soul,2020-11-28,70.0,2.0,1,-3,0.07142857142857142,-3
2020-12-01,soul,2020-11-30,72.5,2.0,1,-1,0.07142857142857142,-1
2020-12-01,soul,2020-12-01,78.0,2.0,1,0,0.07142857142857142,0
2020-12-02,soul,2020-10-26,73.0,1.0,1,-29,0.03571428571428571,-37
2020-12-02,soul,2020-11-03,70.0,1.0,1,-28,0.03571428571428571,-29
2020-12-02,soul,2020-11-23,70.0,1.0,1,-9,0.03571428571428571,-9
2020-12-02,soul,2020-11-25,70.0,2.0,1,-7,0.07142857142857142,-7
2020-12-02,soul,2020-11-27,75.0,1.0,1,-5,0.03571428571428571,-5
2020-12-02,soul,2020-11-28,70.0,3.0,1,-4,0.10714285714285714,-4
2020-12-02,soul,2020-11-30,72.5,2.0,1,-2,0.07142857142857142,-2
2020-12-02,soul,2020-12-01,76.5,2.0,1,-1,0.07142857142857142,-1
2020-12-03,soul,2020-09-19,65.0,1.0,2,-34,0.03571428571428571,-75
2020-12-03,soul,2020-10-26,73.0,1.0,2,-29,0.03571428571428571,-38
2020-12-03,soul,2020-11-03,70.0,1.0,2,-28,0.03571428571428571,-30
2020-12-03,soul,2020-11-10,65.0,1.0,2,-23,0.03571428571428571,-23
2020-12-03,soul,2020-11-11,60.0,1.0,2,-22,0.03571428571428571,-22
2020-12-03,soul,2020-11-12,65.0,1.0,2,-21,0.03571428571428571,-21
2020-12-03,soul,2020-11-16,65.0,1.0,2,-17,0.03571428571428571,-17
2020-12-03,soul,2020-11-18,65.0,1.0,2,-15,0.03571428571428571,-15
2020-12-03,soul,2020-11-19,65.0,1.0,2,-14,0.03571428571428571,-14
2020-12-03,soul,2020-11-21,80.0,0.9166666666666666,2,-12,0.03273809523809524,-12
2020-12-03,soul,2020-11-23,70.0,1.0,2,-10,0.03571428571428571,-10
2020-12-03,soul,2020-11-25,70.0,2.0,2,-8,0.07142857142857142,-8
2020-12-03,soul,2020-11-26,65.0,0.8333333333333334,2,-7,0.029761904761904764,-7
2020-12-03,soul,2020-11-27,75.0,1.0,2,-6,0.03571428571428571,-6
2020-12-03,soul,2020-11-28,70.0,3.0,2,-5,0.10714285714285714,-5
2020-12-03,soul,2020-11-30,72.5,2.0,2,-3,0.07142857142857142,-3
2020-12-03,soul,2020-12-01,76.5,2.0,2,-2,0.07142857142857142,-2
2020-12-03,soul,2020-12-02,67.5,2.0,2,-1,0.07142857142857142,-1
2020-12-04,soul,2020-09-19,65.0,1.0,2,-34,0.03571428571428571,-76
2020-12-04,soul,2020-10-26,73.0,1.0,2,-29,0.03571428571428571,-39
2020-12-04,soul,2020-11-03,70.0,1.0,2,-28,0.03571428571428571,-31
2020-12-04,soul,2020-11-06,50.0,1.0,2,-28,0.03571428571428571,-28
2020-12-04,soul,2020-11-10,65.0,1.0,2,-24,0.03571428571428571,-24
2020-12-04,soul,2020-11-11,60.0,1.0,2,-23,0.03571428571428571,-23
2020-12-04,soul,2020-11-12,65.0,1.0,2,-22,0.03571428571428571,-22
2020-12-04,soul,2020-11-16,65.0,1.0,2,-18,0.03571428571428571,-18
2020-12-04,soul,2020-11-18,65.0,1.0,2,-16,0.03571428571428571,-16
2020-12-04,soul,2020-11-19,66.5,1.5,2,-15,0.05357142857142857,-15
2020-12-04,soul,2020-11-20,60.0,1.0,2,-14,0.03571428571428571,-14
2020-12-04,soul,2020-11-21,80.0,1.0,2,-13,0.03571428571428571,-13
2020-12-04,soul,2020-11-23,70.0,1.0,2,-11,0.03571428571428571,-11
2020-12-04,soul,2020-11-25,67.5,2.0,2,-9,0.07142857142857142,-9
2020-12-04,soul,2020-11-26,65.0,1.0,2,-8,0.03571428571428571,-8
2020-12-04,soul,2020-11-27,75.0,1.0,2,-7,0.03571428571428571,-7
2020-12-04,soul,2020-11-28,70.0,1.0,2,-6,0.03571428571428571,-6
2020-12-04,soul,2020-11-30,75.0,1.0,2,-4,0.03571428571428571,-4
2020-12-04,soul,2020-12-01,76.5,2.0,2,-3,0.07142857142857142,-3
2020-12-04,soul,2020-12-02,67.5,2.0,2,-2,0.07142857142857142,-2
2020-12-04,soul,2020-12-03,67.66666666666667,3.0,2,-1,0.10714285714285714,-1
2020-12-04,soul,2020-12-04,65.0,1.0,2,0,0.03571428571428571,0
2020-12-05,soul,2020-09-19,65.0,1.0,2,-35,0.03571428571428571,-77
2020-12-05,soul,2020-11-06,50.0,1.0,2,-28,0.03571428571428571,-29
2020-12-05,soul,2020-11-10,65.0,1.0,2,-25,0.03571428571428571,-25
2020-12-05,soul,2020-11-12,65.0,1.0,2,-23,0.03571428571428571,-23
2020-12-05,soul,2020-11-16,65.0,1.0,2,-19,0.03571428571428571,-19
2020-12-05,soul,2020-11-18,67.5,1.5555555555555556,2,-17,0.05555555555555556,-17
2020-12-05,soul,2020-11-19,66.0,3.0,2,-16,0.10714285714285714,-16
2020-12-05,soul,2020-11-20,60.0,1.0,2,-15,0.03571428571428571,-15
2020-12-05,soul,2020-11-21,75.0,2.0,2,-14,0.07142857142857142,-14
2020-12-05,soul,2020-11-25,72.5,2.0,2,-10,0.07142857142857142,-10
2020-12-05,soul,2020-11-26,65.0,1.0,2,-9,0.03571428571428571,-9
