rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-01,vlst,2020-11-01,70.0,1.0,1,-28,0.034482758620689655,-30
2020-12-01,vlst,2020-11-10,70.0,1.0,1,-21,0.034482758620689655,-21
2020-12-01,vlst,2020-11-16,50.0,1.0,1,-15,0.034482758620689655,-15
2020-12-01,vlst,2020-11-17,75.0,2.0,1,-14,0.06896551724137931,-14
2020-12-01,vlst,2020-11-18,70.0,0.5,1,-13,0.017241379310344827,-13
2020-12-01,vlst,2020-11-19,75.0,1.0,1,-12,0.034482758620689655,-12
2020-12-01,vlst,2020-11-25,73.0,1.0,1,-6,0.034482758620689655,-6
2020-12-01,vlst,2020-11-26,75.0,1.0,1,-5,0.034482758620689655,-5
2020-12-01,vlst,2020-11-27,75.0,1.0,1,-4,0.034482758620689655,-4
2020-12-01,vlst,2020-11-30,70.0,1.0,1,-1,0.034482758620689655,-1
2020-12-01,vlst,2020-12-01,73.0,1.0,1,0,0.034482758620689655,0
2020-12-02,vlst,2020-10-25,70.0,0.8333333333333334,1,-29,0.028735632183908046,-38
2020-12-02,vlst,2020-11-01,70.0,1.0,1,-28,0.034482758620689655,-31
2020-12-02,vlst,2020-11-09,73.0,0.5833333333333334,1,-23,0.020114942528735632,-23
2020-12-02,vlst,2020-11-10,70.0,1.0,1,-22,0.034482758620689655,-22
2020-12-02,vlst,2020-11-11,70.0,1.0,1,-21,0.034482758620689655,-21
2020-12-02,vlst,2020-11-16,50.0,1.0,1,-16,0.034482758620689655,-16
2020-12-02,vlst,2020-11-17,75.0,2.0,1,-15,0.06896551724137931,-15
2020-12-02,vlst,2020-11-18,70.0,2.0,1,-14,0.06896551724137931,-14
2020-12-02,vlst,2020-11-19,75.0,1.0,1,-13,0.034482758620689655,-13
2020-12-02,vlst,2020-11-25,73.0,1.0,1,-7,0.034482758620689655,-7
2020-12-02,vlst,2020-11-26,75.0,1.0,1,-6,0.034482758620689655,-6
2020-12-02,vlst,2020-11-27,72.5,1.75,1,-5,0.0603448275862069,-5
2020-12-02,vlst,2020-11-30,70.0,2.0,1,-2,0.06896551724137931,-2
2020-12-02,vlst,2020-12-01,70.0,1.0,1,-1,0.034482758620689655,-1
2020-12-03,vlst,2020-10-25,70.0,1.0,2,-29,0.034482758620689655,-39
2020-12-03,vlst,2020-11-01,70.0,1.0,2,-28,0.034482758620689655,-32
2020-12-03,vlst,2020-11-03,65.0,0.8333333333333334,2,-28,0.028735632183908046,-30
2020-12-03,vlst,2020-11-09,73.0,1.0,2,-24,0.034482758620689655,-24
2020-12-03,vlst,2020-11-10,67.5,1.3333333333333333,2,-23,0.04597701149425287,-23
2020-12-03,vlst,2020-11-11,70.0,1.0,2,-22,0.034482758620689655,-22
2020-12-03,vlst,2020-11-13,70.0,0.3333333333333333,2,-20,0.011494252873563218,-20
2020-12-03,vlst,2020-11-14,65.0,1.0,2,-19,0.034482758620689655,-19
2020-12-03,vlst,2020-11-16,50.0,1.0,2,-17,0.034482758620689655,-17
2020-12-03,vlst,2020-11-17,75.0,2.0,2,-16,0.06896551724137931,-16
2020-12-03,vlst,2020-11-18,70.0,2.0,2,-15,0.06896551724137931,-15
2020-12-03,vlst,2020-11-25,70.5,2.0,2,-8,0.06896551724137931,-8
2020-12-03,vlst,2020-11-26,70.0,2.0,2,-7,0.06896551724137931,-7
2020-12-03,vlst,2020-11-27,68.75,3.75,2,-6,0.12931034482758622,-6
2020-12-03,vlst,2020-11-29,65.0,1.0,2,-4,0.034482758620689655,-4
2020-12-03,vlst,2020-11-30,70.0,2.0,2,-3,0.06896551724137931,-3
2020-12-03,vlst,2020-12-01,70.0,1.0,2,-2,0.034482758620689655,-2
2020-12-03,vlst,2020-12-03,70.0,1.0,2,0,0.034482758620689655,0
2020-12-04,vlst,2020-10-23,50.0,1.0,2,-30,0.034482758620689655,-42
2020-12-04,vlst,2020-10-25,70.0,1.0,2,-29,0.034482758620689655,-40
2020-12-04,vlst,2020-11-01,70.0,1.0,2,-28,0.034482758620689655,-33
2020-12-04,vlst,2020-11-03,65.0,1.0,2,-28,0.034482758620689655,-31
2020-12-04,vlst,2020-11-09,73.0,1.0,2,-25,0.034482758620689655,-25
2020-12-04,vlst,2020-11-10,67.5,2.0,2,-24,0.06896551724137931,-24
2020-12-04,vlst,2020-11-11,70.0,1.0,2,-23,0.034482758620689655,-23
2020-12-04,vlst,2020-11-13,70.0,1.0,2,-21,0.034482758620689655,-21
2020-12-04,vlst,2020-11-14,65.0,1.9166666666666665,2,-20,0.0660919540229885,-20
2020-12-04,vlst,2020-11-16,50.0,1.0,2,-18,0.034482758620689655,-18
2020-12-04,vlst,2020-11-17,75.0,2.0,2,-17,0.06896551724137931,-17
2020-12-04,vlst,2020-11-18,66.66666666666667,2.4722222222222223,2,-16,0.08524904214559387,-16
2020-12-04,vlst,2020-11-25,73.0,1.0,2,-9,0.034482758620689655,-9
2020-12-04,vlst,2020-11-26,65.0,1.0,2,-8,0.034482758620689655,-8
2020-12-04,vlst,2020-11-27,67.5,3.6666666666666665,2,-7,0.1264367816091954,-7
2020-12-04,vlst,2020-11-29,65.0,1.0,2,-5,0.034482758620689655,-5
2020-12-04,vlst,2020-11-30,70.0,1.0,2,-4,0.034482758620689655,-4
2020-12-04,vlst,2020-12-01,70.0,1.0,2,-3,0.034482758620689655,-3
2020-12-04,vlst,2020-12-03,70.0,1.0,2,-1,0.034482758620689655,-1
2020-12-05,vlst,2020-09-20,65.0,1.0,2,-34,0.034482758620689655,-76
2020-12-05,vlst,2020-10-21,65.0,1.0,2,-30,0.034482758620689655,-45
2020-12-05,vlst,2020-10-22,65.0,0.5,2,-30,0.017241379310344827,-44
2020-12-05,vlst,2020-10-23,50.0,1.0,2,-30,0.034482758620689655,-43
2020-12-05,vlst,2020-10-25,70.0,1.0,2,-29,0.034482758620689655,-41
2020-12-05,vlst,2020-11-03,65.0,1.0,2,-28,0.034482758620689655,-32
2020-12-05,vlst,2020-11-09,76.5,2.0,2,-26,0.06896551724137931,-26
2020-12-05,vlst,2020-11-10,67.5,2.0,2,-25,0.06896551724137931,-25
2020-12-05,vlst,2020-11-11,67.5,1.6666666666666665,2,-24,0.057471264367816084,-24
2020-12-05,vlst,2020-11-13,70.0,1.0,2,-22,0.034482758620689655,-22
2020-12-05,vlst,2020-11-14,65.0,2.0,2,-21,0.06896551724137931,-21
2020-12-05,vlst,2020-11-17,68.0,1.5,2,-18,0.05172413793103448,-18
2020-12-05,vlst,2020-11-18,66.0,3.0,2,-17,0.10344827586206896,-17
2020-12-05,vlst,2020-11-25,65.0,1.0,2,-10,0.034482758620689655,-10
2020-12-05,vlst,2020-11-26,65.0,1.0,2,-9,0.034482758620689655,-9
2020-12-05,vlst,2020-11-27,68.0,5.0,2,-8,0.1724137931034483,-8
2020-12-05,vlst,2020-11-29,65.0,1.0,2,-6,0.034482758620689655,-6
2020-12-05,vlst,2020-11-30,70.0,1.0,2,-5,0.034482758620689655,-5
2020-12-06,vlst,2020-09-20,65.0,1.0,2,-35,0.034482758620689655,-77
2020-12-06,vlst,2020-10-05,65.0,1.0,2,-32,0.034482758620689655,-62
2020-12-06,vlst,2020-10-21,65.0,1.0,2,-30,0.034482758620689655,-46
2020-12-06,vlst,2020-10-22,65.0,1.0,2,-30,0.034482758620689655,-45
2020-12-06,vlst,2020-10-23,50.0,1.0,2,-30,0.034482758620689655,-44
2020-12-06,vlst,2020-11-03,65.0,1.0,2,-28,0.034482758620689655,-33
2020-12-06,vlst,2020-11-06,65.0,1.0,2,-28,0.034482758620689655,-30
2020-12-06,vlst,2020-11-09,80.0,1.0,2,-27,0.034482758620689655,-27
2020-12-06,vlst,2020-11-10,70.0,1.0,2,-26,0.034482758620689655,-26
2020-12-06,vlst,2020-11-11,65.0,1.0,2,-25,0.034482758620689655,-25
2020-12-06,vlst,2020-11-13,70.0,1.0,2,-23,0.034482758620689655,-23
2020-12-06,vlst,2020-11-14,65.0,1.0,2,-22,0.034482758620689655,-22
2020-12-06,vlst,2020-11-16,65.0,1.0,2,-20,0.034482758620689655,-20
2020-12-06,vlst,2020-11-17,68.0,2.0,2,-19,0.06896551724137931,-19
2020-12-06,vlst,2020-11-18,65.75,4.0,2,-18,0.13793103448275862,-18
2020-12-06,vlst,2020-11-25,65.0,1.0,2,-11,0.034482758620689655,-11
2020-12-06,vlst,2020-11-26,65.0,1.0,2,-10,0.034482758620689655,-10
2020-12-06,vlst,2020-11-27,67.5,4.0,2,-9,0.13793103448275862,-9
2020-12-06,vlst,2020-11-28,65.0,2.0,2,-8,0.06896551724137931,-8
2020-12-06,vlst,2020-11-29,65.0,1.0,2,-7,0.034482758620689655,-7
2020-12-06,vlst,2020-11-30,70.0,2.0,2,-6,0.06896551724137931,-6
2020-12-07,vlst,2020-09-20,65.0,1.0,1,-35,0.034482758620689655,-78
2020-12-07,vlst,2020-10-03,65.0,1.0,1,-33,0.034482758620689655,-65
2020-12-07,vlst,2020-10-05,65.0,1.0,1,-33,0.034482758620689655,-63
2020-12-07,vlst,2020-10-21,65.0,1.0,1,-30,0.034482758620689655,-47
2020-12-07,vlst,2020-10-22,65.0,1.0,1,-30,0.034482758620689655,-46
2020-12-07,vlst,2020-10-30,70.0,1.0,1,-29,0.034482758620689655,-38
2020-12-07,vlst,2020-11-06,65.0,1.0,1,-28,0.034482758620689655,-31
2020-12-07,vlst,2020-11-08,70.0,1.0,1,-28,0.034482758620689655,-29
2020-12-07,vlst,2020-11-09,80.0,1.0,1,-28,0.034482758620689655,-28
2020-12-07,vlst,2020-11-10,70.0,1.0,1,-27,0.034482758620689655,-27
2020-12-07,vlst,2020-11-11,65.0,1.0,1,-26,0.034482758620689655,-26
2020-12-07,vlst,2020-11-13,70.0,1.0,1,-24,0.034482758620689655,-24
2020-12-07,vlst,2020-11-14,65.0,1.0,1,-23,0.034482758620689655,-23
